"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd1","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Was bothered by things that usually don't bother me.",NA,"Not at all in the past week",1
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd1","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Was bothered by things that usually don't bother me.",NA,"Rarely in the past week",2
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd1","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Was bothered by things that usually don't bother me.",NA,"Some of the time during the past week",3
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd1","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Was bothered by things that usually don't bother me.",NA,"Frequently in the past week",4
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd1","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Was bothered by things that usually don't bother me.",NA,"Most or all of the time in the past week",5
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd2","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Had a poor appetite.",NA,"Not at all in the past week",1
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd2","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Had a poor appetite.",NA,"Rarely in the past week",2
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd2","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Had a poor appetite.",NA,"Some of the time during the past week",3
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd2","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Had a poor appetite.",NA,"Frequently in the past week",4
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd2","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Had a poor appetite.",NA,"Most or all of the time in the past week",5
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd3","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Did not feel like eating, even though I should have been hungry.",NA,"Not at all in the past week",1
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd3","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Did not feel like eating, even though I should have been hungry.",NA,"Rarely in the past week",2
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd3","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Did not feel like eating, even though I should have been hungry.",NA,"Some of the time during the past week",3
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd3","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Did not feel like eating, even though I should have been hungry.",NA,"Frequently in the past week",4
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd3","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Did not feel like eating, even though I should have been hungry.",NA,"Most or all of the time in the past week",5
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd4","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Felt that I could not shake off the blues, even with help from my family or friends.",NA,"Not at all in the past week",1
"goldberg_2018_eps_cesd","goldberg_2018_eps_cesd_1","rcesd4","Revised CES-Depression Scale (24 items; Experimental Personality Survey, Eugene-Springfield Community Sample)","HOW HAVE YOU BEEN FEELING THIS WEEK? Listed below are ways that people sometimes feel. Indicate how many times you have felt this way during the past week, using the following scale.",NA,"Felt that I could not shake off the blues, even with help from my family or friends.",NA,"Rarely in the past week",2
