"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"mexico_2023_quality_highways","mexico_2023_quality_highways_1","p5_13_1","Encuesta Nacional de Calidad e Impacto Gubernamental (ENCIG) 2023 y 2021, Cuestionario general, Sección V (ENCIG 2023: preguntas 5.13 y 5.13a; ENCIG 2021: preguntas 5.11 y 5.11a)","Spanish",NA,NA,"Durante 2023, ¿las autopistas con casetas de cuota de (ESTADO)...","During 2023, do the toll highways (with toll booths) of (STATE)...","se encuentran en buen estado libres de baches, deslaves, etcétera?","are in good condition, free of potholes, landslides, etc.?",NA,"Sí","Yes",0
"mexico_2023_quality_highways","mexico_2023_quality_highways_1","p5_13_1","Encuesta Nacional de Calidad e Impacto Gubernamental (ENCIG) 2023 y 2021, Cuestionario general, Sección V (ENCIG 2023: preguntas 5.13 y 5.13a; ENCIG 2021: preguntas 5.11 y 5.11a)","Spanish",NA,NA,"Durante 2023, ¿las autopistas con casetas de cuota de (ESTADO)...","During 2023, do the toll highways (with toll booths) of (STATE)...","se encuentran en buen estado libres de baches, deslaves, etcétera?","are in good condition, free of potholes, landslides, etc.?",NA,"No","No",1
"mexico_2023_quality_highways","mexico_2023_quality_highways_1","p5_13_2","Encuesta Nacional de Calidad e Impacto Gubernamental (ENCIG) 2023 y 2021, Cuestionario general, Sección V (ENCIG 2023: preguntas 5.13 y 5.13a; ENCIG 2021: preguntas 5.11 y 5.11a)","Spanish",NA,NA,"Durante 2023, ¿las autopistas con casetas de cuota de (ESTADO)...","During 2023, do the toll highways (with toll booths) of (STATE)...","en términos de delincuencia son seguras?","in terms of crime, are they safe?",NA,"Sí","Yes",0
"mexico_2023_quality_highways","mexico_2023_quality_highways_1","p5_13_2","Encuesta Nacional de Calidad e Impacto Gubernamental (ENCIG) 2023 y 2021, Cuestionario general, Sección V (ENCIG 2023: preguntas 5.13 y 5.13a; ENCIG 2021: preguntas 5.11 y 5.11a)","Spanish",NA,NA,"Durante 2023, ¿las autopistas con casetas de cuota de (ESTADO)...","During 2023, do the toll highways (with toll booths) of (STATE)...","en términos de delincuencia son seguras?","in terms of crime, are they safe?",NA,"No","No",1
"mexico_2023_quality_highways","mexico_2023_quality_highways_1","p5_13_3","Encuesta Nacional de Calidad e Impacto Gubernamental (ENCIG) 2023 y 2021, Cuestionario general, Sección V (ENCIG 2023: preguntas 5.13 y 5.13a; ENCIG 2021: preguntas 5.11 y 5.11a)","Spanish",NA,NA,"Durante 2023, ¿las autopistas con casetas de cuota de (ESTADO)...","During 2023, do the toll highways (with toll booths) of (STATE)...","comunican a todo el Estado de manera rápida?","connect the whole State quickly?",NA,"Sí","Yes",0
"mexico_2023_quality_highways","mexico_2023_quality_highways_1","p5_13_3","Encuesta Nacional de Calidad e Impacto Gubernamental (ENCIG) 2023 y 2021, Cuestionario general, Sección V (ENCIG 2023: preguntas 5.13 y 5.13a; ENCIG 2021: preguntas 5.11 y 5.11a)","Spanish",NA,NA,"Durante 2023, ¿las autopistas con casetas de cuota de (ESTADO)...","During 2023, do the toll highways (with toll booths) of (STATE)...","comunican a todo el Estado de manera rápida?","connect the whole State quickly?",NA,"No","No",1
"mexico_2023_quality_highways","mexico_2023_quality_highways_1","p5_13_4","Encuesta Nacional de Calidad e Impacto Gubernamental (ENCIG) 2023 y 2021, Cuestionario general, Sección V (ENCIG 2023: preguntas 5.13 y 5.13a; ENCIG 2021: preguntas 5.11 y 5.11a)","Spanish",NA,NA,"Durante 2023, ¿las autopistas con casetas de cuota de (ESTADO)...","During 2023, do the toll highways (with toll booths) of (STATE)...","cuentan con señalamientos claros?","have clear signage?",NA,"Sí","Yes",0
"mexico_2023_quality_highways","mexico_2023_quality_highways_1","p5_13_4","Encuesta Nacional de Calidad e Impacto Gubernamental (ENCIG) 2023 y 2021, Cuestionario general, Sección V (ENCIG 2023: preguntas 5.13 y 5.13a; ENCIG 2021: preguntas 5.11 y 5.11a)","Spanish",NA,NA,"Durante 2023, ¿las autopistas con casetas de cuota de (ESTADO)...","During 2023, do the toll highways (with toll booths) of (STATE)...","cuentan con señalamientos claros?","have clear signage?",NA,"No","No",1
"mexico_2023_quality_highways","mexico_2023_quality_highways_1","p5_13_5","Encuesta Nacional de Calidad e Impacto Gubernamental (ENCIG) 2023 y 2021, Cuestionario general, Sección V (ENCIG 2023: preguntas 5.13 y 5.13a; ENCIG 2021: preguntas 5.11 y 5.11a)","Spanish",NA,NA,"Durante 2023, ¿las autopistas con casetas de cuota de (ESTADO)...","During 2023, do the toll highways (with toll booths) of (STATE)...","cuentan con zonas de descanso con servicios como sanitarios, restaurantes y cajones de estacionamiento?","have rest areas with services such as restrooms, restaurants and parking spaces?",NA,"Sí","Yes",0
"mexico_2023_quality_highways","mexico_2023_quality_highways_1","p5_13_5","Encuesta Nacional de Calidad e Impacto Gubernamental (ENCIG) 2023 y 2021, Cuestionario general, Sección V (ENCIG 2023: preguntas 5.13 y 5.13a; ENCIG 2021: preguntas 5.11 y 5.11a)","Spanish",NA,NA,"Durante 2023, ¿las autopistas con casetas de cuota de (ESTADO)...","During 2023, do the toll highways (with toll booths) of (STATE)...","cuentan con zonas de descanso con servicios como sanitarios, restaurantes y cajones de estacionamiento?","have rest areas with services such as restrooms, restaurants and parking spaces?",NA,"No","No",1
