"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,"Climate change does not present any risk",0
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,1
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,2
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,3
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,4
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,5
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,6
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,7
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,8
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,9
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,10
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,11
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,12
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,13
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,14
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,15
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,16
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,17
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,18
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,19
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,20
"karlsson_2023_climate_risk","karlsson_2023_climate_risk_1","Risk_DV_1","Climate change risk perception (study-specific slider items; Karlsson et al. 2023)","Please answer the questions below by moving the slider.",NA,"To what extent do you perceive climate change to presents a risk to you personally?",NA,NA,21
