"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"nordhoff_2021_motive","nordhoff_2021_motive_1","MOTIVE1_I_use_my_PAC_because_it_helps_me_to_reach_my_destination_more_safely","Motives for using a partially automated car (Nordhoff et al., 2021, questionnaire items Q45-Q48)",NA,NA,"I use my partly automated car because it helps me to reach my destination more safely.",NA,"strongly disagree",1
"nordhoff_2021_motive","nordhoff_2021_motive_1","MOTIVE1_I_use_my_PAC_because_it_helps_me_to_reach_my_destination_more_safely","Motives for using a partially automated car (Nordhoff et al., 2021, questionnaire items Q45-Q48)",NA,NA,"I use my partly automated car because it helps me to reach my destination more safely.",NA,"disagree",2
"nordhoff_2021_motive","nordhoff_2021_motive_1","MOTIVE1_I_use_my_PAC_because_it_helps_me_to_reach_my_destination_more_safely","Motives for using a partially automated car (Nordhoff et al., 2021, questionnaire items Q45-Q48)",NA,NA,"I use my partly automated car because it helps me to reach my destination more safely.",NA,"neutral",3
"nordhoff_2021_motive","nordhoff_2021_motive_1","MOTIVE1_I_use_my_PAC_because_it_helps_me_to_reach_my_destination_more_safely","Motives for using a partially automated car (Nordhoff et al., 2021, questionnaire items Q45-Q48)",NA,NA,"I use my partly automated car because it helps me to reach my destination more safely.",NA,"agree",4
"nordhoff_2021_motive","nordhoff_2021_motive_1","MOTIVE1_I_use_my_PAC_because_it_helps_me_to_reach_my_destination_more_safely","Motives for using a partially automated car (Nordhoff et al., 2021, questionnaire items Q45-Q48)",NA,NA,"I use my partly automated car because it helps me to reach my destination more safely.",NA,"strongly agree",5
"nordhoff_2021_motive","nordhoff_2021_motive_1","MOTIVE2_ I_use_my_PAC_because_it_helps_me_to_reach_my_destination_more_comfortably","Motives for using a partially automated car (Nordhoff et al., 2021, questionnaire items Q45-Q48)",NA,NA,"I use my partly automated car because it helps me to reach my destination more comfortably.",NA,"strongly disagree",1
"nordhoff_2021_motive","nordhoff_2021_motive_1","MOTIVE2_ I_use_my_PAC_because_it_helps_me_to_reach_my_destination_more_comfortably","Motives for using a partially automated car (Nordhoff et al., 2021, questionnaire items Q45-Q48)",NA,NA,"I use my partly automated car because it helps me to reach my destination more comfortably.",NA,"disagree",2
"nordhoff_2021_motive","nordhoff_2021_motive_1","MOTIVE2_ I_use_my_PAC_because_it_helps_me_to_reach_my_destination_more_comfortably","Motives for using a partially automated car (Nordhoff et al., 2021, questionnaire items Q45-Q48)",NA,NA,"I use my partly automated car because it helps me to reach my destination more comfortably.",NA,"neutral",3
"nordhoff_2021_motive","nordhoff_2021_motive_1","MOTIVE2_ I_use_my_PAC_because_it_helps_me_to_reach_my_destination_more_comfortably","Motives for using a partially automated car (Nordhoff et al., 2021, questionnaire items Q45-Q48)",NA,NA,"I use my partly automated car because it helps me to reach my destination more comfortably.",NA,"agree",4
"nordhoff_2021_motive","nordhoff_2021_motive_1","MOTIVE2_ I_use_my_PAC_because_it_helps_me_to_reach_my_destination_more_comfortably","Motives for using a partially automated car (Nordhoff et al., 2021, questionnaire items Q45-Q48)",NA,NA,"I use my partly automated car because it helps me to reach my destination more comfortably.",NA,"strongly agree",5
