"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","language"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI1","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"It’s important for me to travel here",NA,NA,1,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI1","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"It’s important for me to travel here",NA,NA,2,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI1","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"It’s important for me to travel here",NA,NA,3,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI1","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"It’s important for me to travel here",NA,NA,4,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI1","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"It’s important for me to travel here",NA,NA,5,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI2","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Traveling here is one of the most satisfying things I’ve ever done",NA,NA,1,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI2","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Traveling here is one of the most satisfying things I’ve ever done",NA,NA,2,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI2","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Traveling here is one of the most satisfying things I’ve ever done",NA,NA,3,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI2","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Traveling here is one of the most satisfying things I’ve ever done",NA,NA,4,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI2","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Traveling here is one of the most satisfying things I’ve ever done",NA,NA,5,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI3","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"There are a lot of things in my life that are connected here",NA,NA,1,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI3","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"There are a lot of things in my life that are connected here",NA,NA,2,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI3","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"There are a lot of things in my life that are connected here",NA,NA,3,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI3","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"There are a lot of things in my life that are connected here",NA,NA,4,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI3","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"There are a lot of things in my life that are connected here",NA,NA,5,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI4","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Visiting here is an important part of my life",NA,NA,1,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI4","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Visiting here is an important part of my life",NA,NA,2,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI4","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Visiting here is an important part of my life",NA,NA,3,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI4","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Visiting here is an important part of my life",NA,NA,4,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI4","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Visiting here is an important part of my life",NA,NA,5,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI5","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"If I want to change my preference for other activities, I have to rethink",NA,NA,1,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI5","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"If I want to change my preference for other activities, I have to rethink",NA,NA,2,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI5","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"If I want to change my preference for other activities, I have to rethink",NA,NA,3,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI5","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"If I want to change my preference for other activities, I have to rethink",NA,NA,4,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI5","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"If I want to change my preference for other activities, I have to rethink",NA,NA,5,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI6","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"When I play here, I can show my talent and personality",NA,NA,1,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI6","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"When I play here, I can show my talent and personality",NA,NA,2,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI6","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"When I play here, I can show my talent and personality",NA,NA,3,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI6","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"When I play here, I can show my talent and personality",NA,NA,4,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI6","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"When I play here, I can show my talent and personality",NA,NA,5,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI7","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"When a person is playing here, you can learn a lot about him",NA,NA,1,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI7","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"When a person is playing here, you can learn a lot about him",NA,NA,2,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI7","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"When a person is playing here, you can learn a lot about him",NA,NA,3,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI7","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"When a person is playing here, you can learn a lot about him",NA,NA,4,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI7","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"When a person is playing here, you can learn a lot about him",NA,NA,5,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI8","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"I love talking to my friends about the fun of being here",NA,NA,1,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI8","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"I love talking to my friends about the fun of being here",NA,NA,2,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI8","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"I love talking to my friends about the fun of being here",NA,NA,3,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI8","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"I love talking to my friends about the fun of being here",NA,NA,4,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI8","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"I love talking to my friends about the fun of being here",NA,NA,5,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI9","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Most of my friends love to visit here",NA,NA,1,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI9","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Most of my friends love to visit here",NA,NA,2,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI9","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Most of my friends love to visit here",NA,NA,3,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI9","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Most of my friends love to visit here",NA,NA,4,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI9","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Most of my friends love to visit here",NA,NA,5,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI10","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Visiting here is a great opportunity to spend time with friends",NA,NA,1,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI10","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Visiting here is a great opportunity to spend time with friends",NA,NA,2,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI10","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Visiting here is a great opportunity to spend time with friends",NA,NA,3,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI10","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Visiting here is a great opportunity to spend time with friends",NA,NA,4,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI10","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Visiting here is a great opportunity to spend time with friends",NA,NA,5,"Chinese"
"zhao_2025_leisure_involvement","zhao_2025_leisure_involvement_1","LI11","Leisure Involvement (LI) scale, 12 items: attraction, centrality, identity expression (Zhao et al. 2025, based on McIntyre & Pigram 1992)",NA,NA,"Here I can be my true self",NA,NA,1,"Chinese"
