"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_1r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I sympathize with others' problems.",NA,"True",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_1r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I sympathize with others' problems.",NA,"Somewhat true",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_1r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I sympathize with others' problems.",NA,"Somewhat false",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_1r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I sympathize with others' problems.",NA,"False",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_2","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I'm a born leader.",NA,"False",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_2","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I'm a born leader.",NA,"Somewhat false",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_2","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I'm a born leader.",NA,"Somewhat true",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_2","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I'm a born leader.",NA,"True",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_3","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I have had problems at work because I was irresponsible.",NA,"False",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_3","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I have had problems at work because I was irresponsible.",NA,"Somewhat false",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_3","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I have had problems at work because I was irresponsible.",NA,"Somewhat true",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_3","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I have had problems at work because I was irresponsible.",NA,"True",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_4","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't have much sympathy for people.",NA,"False",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_4","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't have much sympathy for people.",NA,"Somewhat false",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_4","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't have much sympathy for people.",NA,"Somewhat true",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_4","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't have much sympathy for people.",NA,"True",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_5","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I can convince people to do what I want.",NA,"False",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_5","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I can convince people to do what I want.",NA,"Somewhat false",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_5","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I can convince people to do what I want.",NA,"Somewhat true",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_5","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I can convince people to do what I want.",NA,"True",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_6","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I have lost a friend because of irresponsible things I've done.",NA,"False",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_6","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I have lost a friend because of irresponsible things I've done.",NA,"Somewhat false",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_6","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I have lost a friend because of irresponsible things I've done.",NA,"Somewhat true",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_6","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I have lost a friend because of irresponsible things I've done.",NA,"True",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_7","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"It doesn't bother me to see someone else in pain.",NA,"False",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_7","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"It doesn't bother me to see someone else in pain.",NA,"Somewhat false",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_7","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"It doesn't bother me to see someone else in pain.",NA,"Somewhat true",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_7","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"It doesn't bother me to see someone else in pain.",NA,"True",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_8","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I function well in new situations, even when unprepared.",NA,"False",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_8","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I function well in new situations, even when unprepared.",NA,"Somewhat false",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_8","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I function well in new situations, even when unprepared.",NA,"Somewhat true",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_8","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I function well in new situations, even when unprepared.",NA,"True",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_9","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"Others have told me they are concerned about my lack of self-control.",NA,"False",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_9","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"Others have told me they are concerned about my lack of self-control.",NA,"Somewhat false",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_9","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"Others have told me they are concerned about my lack of self-control.",NA,"Somewhat true",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_9","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"Others have told me they are concerned about my lack of self-control.",NA,"True",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_10","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't see any point in worrying if what I do hurts someone else.",NA,"False",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_10","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't see any point in worrying if what I do hurts someone else.",NA,"Somewhat false",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_10","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't see any point in worrying if what I do hurts someone else.",NA,"Somewhat true",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_10","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't see any point in worrying if what I do hurts someone else.",NA,"True",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_11r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't like to take the lead in groups.",NA,"True",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_11r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't like to take the lead in groups.",NA,"Somewhat true",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_11r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't like to take the lead in groups.",NA,"Somewhat false",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_11r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I don't like to take the lead in groups.",NA,"False",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_12","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I jump into things without thinking.",NA,"False",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_12","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I jump into things without thinking.",NA,"Somewhat false",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_12","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I jump into things without thinking.",NA,"Somewhat true",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_12","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I jump into things without thinking.",NA,"True",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_13r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I am sensitive to the feelings of others.",NA,"True",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_13r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I am sensitive to the feelings of others.",NA,"Somewhat true",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_13r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I am sensitive to the feelings of others.",NA,"Somewhat false",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_mean_13r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I am sensitive to the feelings of others.",NA,"False",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_14r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I'm not very good at influencing people.",NA,"True",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_14r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I'm not very good at influencing people.",NA,"Somewhat true",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_14r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I'm not very good at influencing people.",NA,"Somewhat false",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_bold_14r","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"I'm not very good at influencing people.",NA,"False",4
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_15","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"My impulsive decisions have caused problems with loved ones.",NA,"False",1
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_15","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"My impulsive decisions have caused problems with loved ones.",NA,"Somewhat false",2
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_15","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"My impulsive decisions have caused problems with loved ones.",NA,"Somewhat true",3
"shorttripm_silvia_2025","shorttripm_silvia_2025_1","tripm_dis_15","Short Triarchic Psychopathy Measure (Short TriPM)","How true is each statement about you?",NA,"My impulsive decisions have caused problems with loved ones.",NA,"True",4
