"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"ajlan_2025_stemcell_knowledge","ajlan_2025_stemcell_knowledge_1","q18","Knowledge and Attitude of Dental School Faculties in King Saud University Towards Stem Cell Therapies and Their Applications","The following questionnaire is intended to evaluate the stem cell-based knowledge and attitudes among faculty members in collage of dentistry, KSU. It will include some demographic data, questions evaluating knowledge about the subject, attitudes towards its teaching and research participation.","Please mark (✔) the selected box:","Stem cell are undifferentiated cells",2,"No",0
"ajlan_2025_stemcell_knowledge","ajlan_2025_stemcell_knowledge_1","q18","Knowledge and Attitude of Dental School Faculties in King Saud University Towards Stem Cell Therapies and Their Applications","The following questionnaire is intended to evaluate the stem cell-based knowledge and attitudes among faculty members in collage of dentistry, KSU. It will include some demographic data, questions evaluating knowledge about the subject, attitudes towards its teaching and research participation.","Please mark (✔) the selected box:","Stem cell are undifferentiated cells",2,"Not Sure",1
"ajlan_2025_stemcell_knowledge","ajlan_2025_stemcell_knowledge_1","q18","Knowledge and Attitude of Dental School Faculties in King Saud University Towards Stem Cell Therapies and Their Applications","The following questionnaire is intended to evaluate the stem cell-based knowledge and attitudes among faculty members in collage of dentistry, KSU. It will include some demographic data, questions evaluating knowledge about the subject, attitudes towards its teaching and research participation.","Please mark (✔) the selected box:","Stem cell are undifferentiated cells",2,"Yes",2
"ajlan_2025_stemcell_knowledge","ajlan_2025_stemcell_knowledge_1","q19","Knowledge and Attitude of Dental School Faculties in King Saud University Towards Stem Cell Therapies and Their Applications","The following questionnaire is intended to evaluate the stem cell-based knowledge and attitudes among faculty members in collage of dentistry, KSU. It will include some demographic data, questions evaluating knowledge about the subject, attitudes towards its teaching and research participation.","Please mark (✔) the selected box:","Stem cells are divided into: Embryonic and Adult stem cells",2,"No",0
"ajlan_2025_stemcell_knowledge","ajlan_2025_stemcell_knowledge_1","q19","Knowledge and Attitude of Dental School Faculties in King Saud University Towards Stem Cell Therapies and Their Applications","The following questionnaire is intended to evaluate the stem cell-based knowledge and attitudes among faculty members in collage of dentistry, KSU. It will include some demographic data, questions evaluating knowledge about the subject, attitudes towards its teaching and research participation.","Please mark (✔) the selected box:","Stem cells are divided into: Embryonic and Adult stem cells",2,"Not Sure",1
"ajlan_2025_stemcell_knowledge","ajlan_2025_stemcell_knowledge_1","q19","Knowledge and Attitude of Dental School Faculties in King Saud University Towards Stem Cell Therapies and Their Applications","The following questionnaire is intended to evaluate the stem cell-based knowledge and attitudes among faculty members in collage of dentistry, KSU. It will include some demographic data, questions evaluating knowledge about the subject, attitudes towards its teaching and research participation.","Please mark (✔) the selected box:","Stem cells are divided into: Embryonic and Adult stem cells",2,"Yes",2
"ajlan_2025_stemcell_knowledge","ajlan_2025_stemcell_knowledge_1","q20","Knowledge and Attitude of Dental School Faculties in King Saud University Towards Stem Cell Therapies and Their Applications","The following questionnaire is intended to evaluate the stem cell-based knowledge and attitudes among faculty members in collage of dentistry, KSU. It will include some demographic data, questions evaluating knowledge about the subject, attitudes towards its teaching and research participation.","Please mark (✔) the selected box:","Adult stem cells have the same differentiation capacity as embryonic cells",2,"Yes",0
"ajlan_2025_stemcell_knowledge","ajlan_2025_stemcell_knowledge_1","q20","Knowledge and Attitude of Dental School Faculties in King Saud University Towards Stem Cell Therapies and Their Applications","The following questionnaire is intended to evaluate the stem cell-based knowledge and attitudes among faculty members in collage of dentistry, KSU. It will include some demographic data, questions evaluating knowledge about the subject, attitudes towards its teaching and research participation.","Please mark (✔) the selected box:","Adult stem cells have the same differentiation capacity as embryonic cells",2,"Not Sure",1
"ajlan_2025_stemcell_knowledge","ajlan_2025_stemcell_knowledge_1","q20","Knowledge and Attitude of Dental School Faculties in King Saud University Towards Stem Cell Therapies and Their Applications","The following questionnaire is intended to evaluate the stem cell-based knowledge and attitudes among faculty members in collage of dentistry, KSU. It will include some demographic data, questions evaluating knowledge about the subject, attitudes towards its teaching and research participation.","Please mark (✔) the selected box:","Adult stem cells have the same differentiation capacity as embryonic cells",2,"No",2
"ajlan_2025_stemcell_knowledge","ajlan_2025_stemcell_knowledge_1","q21","Knowledge and Attitude of Dental School Faculties in King Saud University Towards Stem Cell Therapies and Their Applications","The following questionnaire is intended to evaluate the stem cell-based knowledge and attitudes among faculty members in collage of dentistry, KSU. It will include some demographic data, questions evaluating knowledge about the subject, attitudes towards its teaching and research participation.","Please mark (✔) the selected box:","Dental stem cells have several non dental applications",2,"No",0
