"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"scs_2025_cfausatr","scs_2025_cfausatr_1","SCS01","Self-Compassion Scale Short Form (SCS-SF)","English; Turkish","Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"When I fail at something important to me I become consumed by feelings of inadequacy.",NA,"Almost always",1
"scs_2025_cfausatr","scs_2025_cfausatr_1","SCS01","Self-Compassion Scale Short Form (SCS-SF)","English; Turkish","Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"When I fail at something important to me I become consumed by feelings of inadequacy.",NA,NA,2
"scs_2025_cfausatr","scs_2025_cfausatr_1","SCS01","Self-Compassion Scale Short Form (SCS-SF)","English; Turkish","Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"When I fail at something important to me I become consumed by feelings of inadequacy.",NA,NA,3
"scs_2025_cfausatr","scs_2025_cfausatr_1","SCS01","Self-Compassion Scale Short Form (SCS-SF)","English; Turkish","Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"When I fail at something important to me I become consumed by feelings of inadequacy.",NA,NA,4
"scs_2025_cfausatr","scs_2025_cfausatr_1","SCS01","Self-Compassion Scale Short Form (SCS-SF)","English; Turkish","Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"When I fail at something important to me I become consumed by feelings of inadequacy.",NA,"Almost never",5
"scs_2025_cfausatr","scs_2025_cfausatr_1","SCS02","Self-Compassion Scale Short Form (SCS-SF)","English; Turkish","Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"I try to be understanding and patient towards those aspects of my personality I don’t like.",NA,"Almost never",1
"scs_2025_cfausatr","scs_2025_cfausatr_1","SCS02","Self-Compassion Scale Short Form (SCS-SF)","English; Turkish","Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"I try to be understanding and patient towards those aspects of my personality I don’t like.",NA,NA,2
"scs_2025_cfausatr","scs_2025_cfausatr_1","SCS02","Self-Compassion Scale Short Form (SCS-SF)","English; Turkish","Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"I try to be understanding and patient towards those aspects of my personality I don’t like.",NA,NA,3
"scs_2025_cfausatr","scs_2025_cfausatr_1","SCS02","Self-Compassion Scale Short Form (SCS-SF)","English; Turkish","Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"I try to be understanding and patient towards those aspects of my personality I don’t like.",NA,NA,4
"scs_2025_cfausatr","scs_2025_cfausatr_1","SCS02","Self-Compassion Scale Short Form (SCS-SF)","English; Turkish","Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"I try to be understanding and patient towards those aspects of my personality I don’t like.",NA,"Almost always",5
