"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_1","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"Best hand washing practice to prevent COVID-19 is? a. Wash hand with water only b. Wash hand with water and soap c. Wash hand thoroughly with running water and soap d. All of the above",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_1","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"Best hand washing practice to prevent COVID-19 is? a. Wash hand with water only b. Wash hand with water and soap c. Wash hand thoroughly with running water and soap d. All of the above",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_2","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"Social distancing during COVID-19 as recommended by WHO & NCDC is? a. Keeping 10 meters b. Keeping 5 meters c. Keeping 2 meters d. Keeping 1 meters",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_2","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"Social distancing during COVID-19 as recommended by WHO & NCDC is? a. Keeping 10 meters b. Keeping 5 meters c. Keeping 2 meters d. Keeping 1 meters",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_3","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"The best practice during COVID-19 is to cough or sneeze into…… a. The hand and clean it with dry cloth b. The hand and clean it with wet cloth c. The air and run away from there d. A flexed elbow or a tissue and throw it away immediately",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_3","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"The best practice during COVID-19 is to cough or sneeze into…… a. The hand and clean it with dry cloth b. The hand and clean it with wet cloth c. The air and run away from there d. A flexed elbow or a tissue and throw it away immediately",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_4","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"Two or more persons sharing the same face mask is healthy a. Agree b. Disagree",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_4","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"Two or more persons sharing the same face mask is healthy a. Agree b. Disagree",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_5","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"Someone wearing facemask cannot be infected with COVID-19 even if he/she hugs an infected person a. Agree b. Disagree",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_5","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"Someone wearing facemask cannot be infected with COVID-19 even if he/she hugs an infected person a. Agree b. Disagree",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_6","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"The recommended way to wear face shield is a. Wear face shield with face mask b. Wear face shield alone c. Wear face shield and carry tissue d. All of the above",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_6","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"The recommended way to wear face shield is a. Wear face shield with face mask b. Wear face shield alone c. Wear face shield and carry tissue d. All of the above",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_7","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"To prevent COVID-19, it was recommended to cough into… a. Hand b. Handkerchief and put into pocket c. Elbow or tissue and dispose immediately d. All of the above",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_7","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"To prevent COVID-19, it was recommended to cough into… a. Hand b. Handkerchief and put into pocket c. Elbow or tissue and dispose immediately d. All of the above",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_8","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"COVID-19 cannot be contracted through the nose a. Agree b. Disagree",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_8","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"COVID-19 cannot be contracted through the nose a. Agree b. Disagree",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_9","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"To prevent COVID-19 Alcoholic based Hand sanitizer should be used after thorough washing of hands. a. Agree b. Disagree",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_9","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"To prevent COVID-19 Alcoholic based Hand sanitizer should be used after thorough washing of hands. a. Agree b. Disagree",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_10","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"After coughing or sneezing into the hand, it was recommended that the person should a. Clean his/her hand on the cloth b. Clean hand with tissue c. Wash hand with running water and soap d. All of the above",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_10","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"After coughing or sneezing into the hand, it was recommended that the person should a. Clean his/her hand on the cloth b. Clean hand with tissue c. Wash hand with running water and soap d. All of the above",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_11","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"Recommended duration for self-isolation after close contact with infected person is a. 10 days b. 20 days c. 14 days d. 50 days",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_11","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"Recommended duration for self-isolation after close contact with infected person is a. 10 days b. 20 days c. 14 days d. 50 days",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_12","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"COVID-19 is a conspiracy not a virus a. Agree b. Disagree",NA,"incorrect",0
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_12","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"COVID-19 is a conspiracy not a virus a. Agree b. Disagree",NA,"correct",1
"onah_2021_covid_knowledge","onah_2021_covid_knowledge_1","COVID_13","COVID 19 Health Related Information Literacy Assessment Scale","this section is made up of 25 questions; each question you answered correctly is 4 marks while incorrect answer is 0. Read carefully and answer and tick any option (a-d) that you think is the best answer to each of the question.",NA,"COVID-19 is not real in Nigeria a. Agree b. Disagree",NA,"incorrect",0
