"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"eammi_grahe_2018_marriage_identity_allocation","eammi_grahe_2018_marriage_identity_allocation_1","marriage1_1","Marriage Opinions: Central Identity (EAMMi2; adapted from Willoughby, Hall & Goff, 2015, and Hall & Willoughby, 2016)","Consider your eventual (or current) aspects of your life—though they may not all apply to you. How much importance do you place (or do you expect to place) on each of the following aspects of your life? Assign a percentage to each of the following aspects, equaling a total of 100% (indicating the relative importance of each of these roles compared to each other).",NA,"Marriage",NA,NA,0
"eammi_grahe_2018_marriage_identity_allocation","eammi_grahe_2018_marriage_identity_allocation_1","marriage1_1","Marriage Opinions: Central Identity (EAMMi2; adapted from Willoughby, Hall & Goff, 2015, and Hall & Willoughby, 2016)","Consider your eventual (or current) aspects of your life—though they may not all apply to you. How much importance do you place (or do you expect to place) on each of the following aspects of your life? Assign a percentage to each of the following aspects, equaling a total of 100% (indicating the relative importance of each of these roles compared to each other).",NA,"Marriage",NA,NA,1
"eammi_grahe_2018_marriage_identity_allocation","eammi_grahe_2018_marriage_identity_allocation_1","marriage1_1","Marriage Opinions: Central Identity (EAMMi2; adapted from Willoughby, Hall & Goff, 2015, and Hall & Willoughby, 2016)","Consider your eventual (or current) aspects of your life—though they may not all apply to you. How much importance do you place (or do you expect to place) on each of the following aspects of your life? Assign a percentage to each of the following aspects, equaling a total of 100% (indicating the relative importance of each of these roles compared to each other).",NA,"Marriage",NA,NA,2
"eammi_grahe_2018_marriage_identity_allocation","eammi_grahe_2018_marriage_identity_allocation_1","marriage1_1","Marriage Opinions: Central Identity (EAMMi2; adapted from Willoughby, Hall & Goff, 2015, and Hall & Willoughby, 2016)","Consider your eventual (or current) aspects of your life—though they may not all apply to you. How much importance do you place (or do you expect to place) on each of the following aspects of your life? Assign a percentage to each of the following aspects, equaling a total of 100% (indicating the relative importance of each of these roles compared to each other).",NA,"Marriage",NA,NA,3
"eammi_grahe_2018_marriage_identity_allocation","eammi_grahe_2018_marriage_identity_allocation_1","marriage1_1","Marriage Opinions: Central Identity (EAMMi2; adapted from Willoughby, Hall & Goff, 2015, and Hall & Willoughby, 2016)","Consider your eventual (or current) aspects of your life—though they may not all apply to you. How much importance do you place (or do you expect to place) on each of the following aspects of your life? Assign a percentage to each of the following aspects, equaling a total of 100% (indicating the relative importance of each of these roles compared to each other).",NA,"Marriage",NA,NA,4
"eammi_grahe_2018_marriage_identity_allocation","eammi_grahe_2018_marriage_identity_allocation_1","marriage1_1","Marriage Opinions: Central Identity (EAMMi2; adapted from Willoughby, Hall & Goff, 2015, and Hall & Willoughby, 2016)","Consider your eventual (or current) aspects of your life—though they may not all apply to you. How much importance do you place (or do you expect to place) on each of the following aspects of your life? Assign a percentage to each of the following aspects, equaling a total of 100% (indicating the relative importance of each of these roles compared to each other).",NA,"Marriage",NA,NA,5
"eammi_grahe_2018_marriage_identity_allocation","eammi_grahe_2018_marriage_identity_allocation_1","marriage1_1","Marriage Opinions: Central Identity (EAMMi2; adapted from Willoughby, Hall & Goff, 2015, and Hall & Willoughby, 2016)","Consider your eventual (or current) aspects of your life—though they may not all apply to you. How much importance do you place (or do you expect to place) on each of the following aspects of your life? Assign a percentage to each of the following aspects, equaling a total of 100% (indicating the relative importance of each of these roles compared to each other).",NA,"Marriage",NA,NA,6
"eammi_grahe_2018_marriage_identity_allocation","eammi_grahe_2018_marriage_identity_allocation_1","marriage1_1","Marriage Opinions: Central Identity (EAMMi2; adapted from Willoughby, Hall & Goff, 2015, and Hall & Willoughby, 2016)","Consider your eventual (or current) aspects of your life—though they may not all apply to you. How much importance do you place (or do you expect to place) on each of the following aspects of your life? Assign a percentage to each of the following aspects, equaling a total of 100% (indicating the relative importance of each of these roles compared to each other).",NA,"Marriage",NA,NA,7
"eammi_grahe_2018_marriage_identity_allocation","eammi_grahe_2018_marriage_identity_allocation_1","marriage1_1","Marriage Opinions: Central Identity (EAMMi2; adapted from Willoughby, Hall & Goff, 2015, and Hall & Willoughby, 2016)","Consider your eventual (or current) aspects of your life—though they may not all apply to you. How much importance do you place (or do you expect to place) on each of the following aspects of your life? Assign a percentage to each of the following aspects, equaling a total of 100% (indicating the relative importance of each of these roles compared to each other).",NA,"Marriage",NA,NA,8
"eammi_grahe_2018_marriage_identity_allocation","eammi_grahe_2018_marriage_identity_allocation_1","marriage1_1","Marriage Opinions: Central Identity (EAMMi2; adapted from Willoughby, Hall & Goff, 2015, and Hall & Willoughby, 2016)","Consider your eventual (or current) aspects of your life—though they may not all apply to you. How much importance do you place (or do you expect to place) on each of the following aspects of your life? Assign a percentage to each of the following aspects, equaling a total of 100% (indicating the relative importance of each of these roles compared to each other).",NA,"Marriage",NA,NA,9
