"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2026_prostitution_prostitution","spain_2026_prostitution_prostitution_1","p23_1","Centro de Investigaciones Sociológicas, Estudio 3525 'Percepción de la prostitución', P23 (agreement with opinions about prostitution)","Spanish","Ahora me gustaría saber su grado de acuerdo, muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes opiniones","Now I would like to know your level of agreement, strongly agree, quite, slightly or not at all in agreement, with the following opinions",NA,NA,"La prostitución es una forma de violencia contra las mujeres","Prostitution is a form of violence against women",NA,"Muy de acuerdo","Strongly agree",1
"spain_2026_prostitution_prostitution","spain_2026_prostitution_prostitution_1","p23_1","Centro de Investigaciones Sociológicas, Estudio 3525 'Percepción de la prostitución', P23 (agreement with opinions about prostitution)","Spanish","Ahora me gustaría saber su grado de acuerdo, muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes opiniones","Now I would like to know your level of agreement, strongly agree, quite, slightly or not at all in agreement, with the following opinions",NA,NA,"La prostitución es una forma de violencia contra las mujeres","Prostitution is a form of violence against women",NA,"Bastante de acuerdo","Quite agree",2
"spain_2026_prostitution_prostitution","spain_2026_prostitution_prostitution_1","p23_1","Centro de Investigaciones Sociológicas, Estudio 3525 'Percepción de la prostitución', P23 (agreement with opinions about prostitution)","Spanish","Ahora me gustaría saber su grado de acuerdo, muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes opiniones","Now I would like to know your level of agreement, strongly agree, quite, slightly or not at all in agreement, with the following opinions",NA,NA,"La prostitución es una forma de violencia contra las mujeres","Prostitution is a form of violence against women",NA,"Poco de acuerdo","Slightly agree",4
"spain_2026_prostitution_prostitution","spain_2026_prostitution_prostitution_1","p23_1","Centro de Investigaciones Sociológicas, Estudio 3525 'Percepción de la prostitución', P23 (agreement with opinions about prostitution)","Spanish","Ahora me gustaría saber su grado de acuerdo, muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes opiniones","Now I would like to know your level of agreement, strongly agree, quite, slightly or not at all in agreement, with the following opinions",NA,NA,"La prostitución es una forma de violencia contra las mujeres","Prostitution is a form of violence against women",NA,"Nada de acuerdo","Do not agree at all",5
"spain_2026_prostitution_prostitution","spain_2026_prostitution_prostitution_1","p23_2","Centro de Investigaciones Sociológicas, Estudio 3525 'Percepción de la prostitución', P23 (agreement with opinions about prostitution)","Spanish","Ahora me gustaría saber su grado de acuerdo, muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes opiniones","Now I would like to know your level of agreement, strongly agree, quite, slightly or not at all in agreement, with the following opinions",NA,NA,"La prostitución es un trabajo como otro cualquiera","Prostitution is a job like any other",NA,"Muy de acuerdo","Strongly agree",1
"spain_2026_prostitution_prostitution","spain_2026_prostitution_prostitution_1","p23_2","Centro de Investigaciones Sociológicas, Estudio 3525 'Percepción de la prostitución', P23 (agreement with opinions about prostitution)","Spanish","Ahora me gustaría saber su grado de acuerdo, muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes opiniones","Now I would like to know your level of agreement, strongly agree, quite, slightly or not at all in agreement, with the following opinions",NA,NA,"La prostitución es un trabajo como otro cualquiera","Prostitution is a job like any other",NA,"Bastante de acuerdo","Quite agree",2
"spain_2026_prostitution_prostitution","spain_2026_prostitution_prostitution_1","p23_2","Centro de Investigaciones Sociológicas, Estudio 3525 'Percepción de la prostitución', P23 (agreement with opinions about prostitution)","Spanish","Ahora me gustaría saber su grado de acuerdo, muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes opiniones","Now I would like to know your level of agreement, strongly agree, quite, slightly or not at all in agreement, with the following opinions",NA,NA,"La prostitución es un trabajo como otro cualquiera","Prostitution is a job like any other",NA,"Poco de acuerdo","Slightly agree",4
"spain_2026_prostitution_prostitution","spain_2026_prostitution_prostitution_1","p23_2","Centro de Investigaciones Sociológicas, Estudio 3525 'Percepción de la prostitución', P23 (agreement with opinions about prostitution)","Spanish","Ahora me gustaría saber su grado de acuerdo, muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes opiniones","Now I would like to know your level of agreement, strongly agree, quite, slightly or not at all in agreement, with the following opinions",NA,NA,"La prostitución es un trabajo como otro cualquiera","Prostitution is a job like any other",NA,"Nada de acuerdo","Do not agree at all",5
"spain_2026_prostitution_prostitution","spain_2026_prostitution_prostitution_1","p23_3","Centro de Investigaciones Sociológicas, Estudio 3525 'Percepción de la prostitución', P23 (agreement with opinions about prostitution)","Spanish","Ahora me gustaría saber su grado de acuerdo, muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes opiniones","Now I would like to know your level of agreement, strongly agree, quite, slightly or not at all in agreement, with the following opinions",NA,NA,"La prostitución pone en riesgo la dignidad de las personas que se prostituyen","Prostitution puts the dignity of the people who prostitute themselves at risk",NA,"Muy de acuerdo","Strongly agree",1
"spain_2026_prostitution_prostitution","spain_2026_prostitution_prostitution_1","p23_3","Centro de Investigaciones Sociológicas, Estudio 3525 'Percepción de la prostitución', P23 (agreement with opinions about prostitution)","Spanish","Ahora me gustaría saber su grado de acuerdo, muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes opiniones","Now I would like to know your level of agreement, strongly agree, quite, slightly or not at all in agreement, with the following opinions",NA,NA,"La prostitución pone en riesgo la dignidad de las personas que se prostituyen","Prostitution puts the dignity of the people who prostitute themselves at risk",NA,"Bastante de acuerdo","Quite agree",2
"spain_2026_prostitution_prostitution","spain_2026_prostitution_prostitution_1","p23_3","Centro de Investigaciones Sociológicas, Estudio 3525 'Percepción de la prostitución', P23 (agreement with opinions about prostitution)","Spanish","Ahora me gustaría saber su grado de acuerdo, muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes opiniones","Now I would like to know your level of agreement, strongly agree, quite, slightly or not at all in agreement, with the following opinions",NA,NA,"La prostitución pone en riesgo la dignidad de las personas que se prostituyen","Prostitution puts the dignity of the people who prostitute themselves at risk",NA,"Poco de acuerdo","Slightly agree",4
