"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP1","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Reduction of pollution, waste, and GHG emissions.",NA,"strongly disagree",1,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP1","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Reduction of pollution, waste, and GHG emissions.",NA,NA,2,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP1","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Reduction of pollution, waste, and GHG emissions.",NA,NA,3,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP1","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Reduction of pollution, waste, and GHG emissions.",NA,NA,4,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP1","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Reduction of pollution, waste, and GHG emissions.",NA,"strongly agree",5,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP2","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Process, productivity, and product efficiency improvements (energy, water, materials, and use and reuse of productive resources)",NA,"strongly disagree",1,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP2","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Process, productivity, and product efficiency improvements (energy, water, materials, and use and reuse of productive resources)",NA,NA,2,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP2","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Process, productivity, and product efficiency improvements (energy, water, materials, and use and reuse of productive resources)",NA,NA,3,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP2","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Process, productivity, and product efficiency improvements (energy, water, materials, and use and reuse of productive resources)",NA,NA,4,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP2","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Process, productivity, and product efficiency improvements (energy, water, materials, and use and reuse of productive resources)",NA,"strongly agree",5,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP3","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Reduction of risks (occupational, human, and environmental)",NA,"strongly disagree",1,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP3","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Reduction of risks (occupational, human, and environmental)",NA,NA,2,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP3","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Reduction of risks (occupational, human, and environmental)",NA,NA,3,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP3","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Reduction of risks (occupational, human, and environmental)",NA,NA,4,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP3","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Reduction of risks (occupational, human, and environmental)",NA,"strongly agree",5,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP4","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"New business opportunities (market access and innovation in sustainable products and processes)",NA,"strongly disagree",1,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP4","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"New business opportunities (market access and innovation in sustainable products and processes)",NA,NA,2,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP4","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"New business opportunities (market access and innovation in sustainable products and processes)",NA,NA,3,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP4","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"New business opportunities (market access and innovation in sustainable products and processes)",NA,NA,4,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP4","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"New business opportunities (market access and innovation in sustainable products and processes)",NA,"strongly agree",5,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP5","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Improvement of the organizational image and strengthening of the relationship with stakeholders.",NA,"strongly disagree",1,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP5","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Improvement of the organizational image and strengthening of the relationship with stakeholders.",NA,NA,2,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP5","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Improvement of the organizational image and strengthening of the relationship with stakeholders.",NA,NA,3,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP5","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Improvement of the organizational image and strengthening of the relationship with stakeholders.",NA,NA,4,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP5","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Improvement of the organizational image and strengthening of the relationship with stakeholders.",NA,"strongly agree",5,NA,NA,NA,NA
"liem_2024_perceived_benefit_cp","liem_2024_perceived_benefit_cp_1","PB_CP6","Perceived benefit of cleaner production (Matos et al., 2018)","Vietnamese",NA,NA,"Organizational competitiveness and profitability",NA,"strongly disagree",1,NA,NA,NA,NA
