"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2026_international_media","spain_2026_international_media_1","p7","Centro de Investigaciones Sociológicas, Estudio 3564 'Estudio sobre la situación internacional', P.7 [P7], P.9 [P9], P.10 [P10] (interest in, trust in, and perceived simplification of news about current international conflicts)","Spanish",NA,NA,NA,NA,"¿Qué nivel de interés tiene Ud. por las noticias internacionales relacionadas con conflictos actuales (Ucrania, Gaza, estrecho de Ormuz, tensiones globales, etc.)?","What level of interest do you have in international news related to current conflicts (Ukraine, Gaza, the Strait of Hormuz, global tensions, etc.)?",NA,"Mucho","A lot",1
"spain_2026_international_media","spain_2026_international_media_1","p7","Centro de Investigaciones Sociológicas, Estudio 3564 'Estudio sobre la situación internacional', P.7 [P7], P.9 [P9], P.10 [P10] (interest in, trust in, and perceived simplification of news about current international conflicts)","Spanish",NA,NA,NA,NA,"¿Qué nivel de interés tiene Ud. por las noticias internacionales relacionadas con conflictos actuales (Ucrania, Gaza, estrecho de Ormuz, tensiones globales, etc.)?","What level of interest do you have in international news related to current conflicts (Ukraine, Gaza, the Strait of Hormuz, global tensions, etc.)?",NA,"Bastante","Quite a lot",2
"spain_2026_international_media","spain_2026_international_media_1","p7","Centro de Investigaciones Sociológicas, Estudio 3564 'Estudio sobre la situación internacional', P.7 [P7], P.9 [P9], P.10 [P10] (interest in, trust in, and perceived simplification of news about current international conflicts)","Spanish",NA,NA,NA,NA,"¿Qué nivel de interés tiene Ud. por las noticias internacionales relacionadas con conflictos actuales (Ucrania, Gaza, estrecho de Ormuz, tensiones globales, etc.)?","What level of interest do you have in international news related to current conflicts (Ukraine, Gaza, the Strait of Hormuz, global tensions, etc.)?",NA,"Poco","A little",3
"spain_2026_international_media","spain_2026_international_media_1","p7","Centro de Investigaciones Sociológicas, Estudio 3564 'Estudio sobre la situación internacional', P.7 [P7], P.9 [P9], P.10 [P10] (interest in, trust in, and perceived simplification of news about current international conflicts)","Spanish",NA,NA,NA,NA,"¿Qué nivel de interés tiene Ud. por las noticias internacionales relacionadas con conflictos actuales (Ucrania, Gaza, estrecho de Ormuz, tensiones globales, etc.)?","What level of interest do you have in international news related to current conflicts (Ukraine, Gaza, the Strait of Hormuz, global tensions, etc.)?",NA,"Nada","None",4
"spain_2026_international_media","spain_2026_international_media_1","p9","Centro de Investigaciones Sociológicas, Estudio 3564 'Estudio sobre la situación internacional', P.7 [P7], P.9 [P9], P.10 [P10] (interest in, trust in, and perceived simplification of news about current international conflicts)","Spanish",NA,NA,NA,NA,"¿Confía Ud. en la información que recibe sobre guerras como Ucrania, Gaza o estrecho de Ormuz?","Do you trust the information you receive about wars such as Ukraine, Gaza or the Strait of Hormuz?",NA,"Mucho","A lot",1
"spain_2026_international_media","spain_2026_international_media_1","p9","Centro de Investigaciones Sociológicas, Estudio 3564 'Estudio sobre la situación internacional', P.7 [P7], P.9 [P9], P.10 [P10] (interest in, trust in, and perceived simplification of news about current international conflicts)","Spanish",NA,NA,NA,NA,"¿Confía Ud. en la información que recibe sobre guerras como Ucrania, Gaza o estrecho de Ormuz?","Do you trust the information you receive about wars such as Ukraine, Gaza or the Strait of Hormuz?",NA,"Bastante","Quite a lot",2
"spain_2026_international_media","spain_2026_international_media_1","p9","Centro de Investigaciones Sociológicas, Estudio 3564 'Estudio sobre la situación internacional', P.7 [P7], P.9 [P9], P.10 [P10] (interest in, trust in, and perceived simplification of news about current international conflicts)","Spanish",NA,NA,NA,NA,"¿Confía Ud. en la información que recibe sobre guerras como Ucrania, Gaza o estrecho de Ormuz?","Do you trust the information you receive about wars such as Ukraine, Gaza or the Strait of Hormuz?",NA,"Poco","A little",3
"spain_2026_international_media","spain_2026_international_media_1","p9","Centro de Investigaciones Sociológicas, Estudio 3564 'Estudio sobre la situación internacional', P.7 [P7], P.9 [P9], P.10 [P10] (interest in, trust in, and perceived simplification of news about current international conflicts)","Spanish",NA,NA,NA,NA,"¿Confía Ud. en la información que recibe sobre guerras como Ucrania, Gaza o estrecho de Ormuz?","Do you trust the information you receive about wars such as Ukraine, Gaza or the Strait of Hormuz?",NA,"Nada","Not at all",4
"spain_2026_international_media","spain_2026_international_media_1","p10","Centro de Investigaciones Sociológicas, Estudio 3564 'Estudio sobre la situación internacional', P.7 [P7], P.9 [P9], P.10 [P10] (interest in, trust in, and perceived simplification of news about current international conflicts)","Spanish",NA,NA,NA,NA,"¿Cree Ud. que los medios simplifican estos conflictos?","Do you think the media simplify these conflicts?",NA,"Los simplifican mucho","They simplify them a lot",1
"spain_2026_international_media","spain_2026_international_media_1","p10","Centro de Investigaciones Sociológicas, Estudio 3564 'Estudio sobre la situación internacional', P.7 [P7], P.9 [P9], P.10 [P10] (interest in, trust in, and perceived simplification of news about current international conflicts)","Spanish",NA,NA,NA,NA,"¿Cree Ud. que los medios simplifican estos conflictos?","Do you think the media simplify these conflicts?",NA,"Bastante","Quite a lot",2
