"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"El estado de conservación","Its state of repair",NA,"Muy satisfecho/a","Very satisfied",1
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"El estado de conservación","Its state of repair",NA,"Bastante satisfecho/a","Quite satisfied",2
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"El estado de conservación","Its state of repair",NA,"Poco satisfecho/a","Not very satisfied",3
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"El estado de conservación","Its state of repair",NA,"Nada satisfecho/a","Not at all satisfied",4
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"El tamaño","Its size",NA,"Muy satisfecho/a","Very satisfied",1
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"El tamaño","Its size",NA,"Bastante satisfecho/a","Quite satisfied",2
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"El tamaño","Its size",NA,"Poco satisfecho/a","Not very satisfied",3
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"El tamaño","Its size",NA,"Nada satisfecho/a","Not at all satisfied",4
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_3","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"La distribución interior","The interior layout",NA,"Muy satisfecho/a","Very satisfied",1
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_3","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"La distribución interior","The interior layout",NA,"Bastante satisfecho/a","Quite satisfied",2
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_3","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"La distribución interior","The interior layout",NA,"Poco satisfecho/a","Not very satisfied",3
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_3","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"La distribución interior","The interior layout",NA,"Nada satisfecho/a","Not at all satisfied",4
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_4","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"La luz natural con la que cuenta","The natural light it has",NA,"Muy satisfecho/a","Very satisfied",1
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_4","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"La luz natural con la que cuenta","The natural light it has",NA,"Bastante satisfecho/a","Quite satisfied",2
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_4","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"La luz natural con la que cuenta","The natural light it has",NA,"Poco satisfecho/a","Not very satisfied",3
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_4","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"La luz natural con la que cuenta","The natural light it has",NA,"Nada satisfecho/a","Not at all satisfied",4
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_5","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"La orientación","The orientation",NA,"Muy satisfecho/a","Very satisfied",1
"spain_2018_housing_dwelling","spain_2018_housing_dwelling_1","P9_5","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.9: satisfacción con aspectos de la vivienda","Spanish","¿Está Ud. muy satisfecho/a, bastante, poco o nada satisfecho/a con los siguientes aspectos de su vivienda…?","Are you very satisfied, quite, not very or not at all satisfied with the following aspects of your dwelling…?",NA,"La orientación","The orientation",NA,"Bastante satisfecho/a","Quite satisfied",2
