"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2017_politics_fraud","spain_2017_politics_fraud_1","p18","CIS Estudio 3184, Opinión pública y política fiscal (XXXIV) (julio 2017), P.18-P.20 y P.24: percepción del fraude fiscal","Spanish",NA,NA,NA,NA,"En su opinión, ¿cree Ud. que en España existe mucho fraude fiscal, bastante, poco o muy poco fraude fiscal?","In your opinion, do you think that in Spain there is a lot of tax fraud, quite a lot, little or very little tax fraud?",NA,"Existe mucho fraude fiscal","There is a lot of tax fraud",1
"spain_2017_politics_fraud","spain_2017_politics_fraud_1","p18","CIS Estudio 3184, Opinión pública y política fiscal (XXXIV) (julio 2017), P.18-P.20 y P.24: percepción del fraude fiscal","Spanish",NA,NA,NA,NA,"En su opinión, ¿cree Ud. que en España existe mucho fraude fiscal, bastante, poco o muy poco fraude fiscal?","In your opinion, do you think that in Spain there is a lot of tax fraud, quite a lot, little or very little tax fraud?",NA,"Existe bastante fraude fiscal","There is quite a lot of tax fraud",2
"spain_2017_politics_fraud","spain_2017_politics_fraud_1","p18","CIS Estudio 3184, Opinión pública y política fiscal (XXXIV) (julio 2017), P.18-P.20 y P.24: percepción del fraude fiscal","Spanish",NA,NA,NA,NA,"En su opinión, ¿cree Ud. que en España existe mucho fraude fiscal, bastante, poco o muy poco fraude fiscal?","In your opinion, do you think that in Spain there is a lot of tax fraud, quite a lot, little or very little tax fraud?",NA,"Existe poco fraude fiscal","There is little tax fraud",3
"spain_2017_politics_fraud","spain_2017_politics_fraud_1","p18","CIS Estudio 3184, Opinión pública y política fiscal (XXXIV) (julio 2017), P.18-P.20 y P.24: percepción del fraude fiscal","Spanish",NA,NA,NA,NA,"En su opinión, ¿cree Ud. que en España existe mucho fraude fiscal, bastante, poco o muy poco fraude fiscal?","In your opinion, do you think that in Spain there is a lot of tax fraud, quite a lot, little or very little tax fraud?",NA,"Existe muy poco fraude fiscal","There is very little tax fraud",4
"spain_2017_politics_fraud","spain_2017_politics_fraud_1","p19","CIS Estudio 3184, Opinión pública y política fiscal (XXXIV) (julio 2017), P.18-P.20 y P.24: percepción del fraude fiscal","Spanish",NA,NA,NA,NA,"Entre la gente que conoce, ¿cuánta cree Ud. que declara realmente todos sus ingresos al hacer la declaración de la renta?","Among the people you know, how many do you think really declare all their income when filing their income tax return?",NA,"Toda o casi toda","All or almost all",1
"spain_2017_politics_fraud","spain_2017_politics_fraud_1","p19","CIS Estudio 3184, Opinión pública y política fiscal (XXXIV) (julio 2017), P.18-P.20 y P.24: percepción del fraude fiscal","Spanish",NA,NA,NA,NA,"Entre la gente que conoce, ¿cuánta cree Ud. que declara realmente todos sus ingresos al hacer la declaración de la renta?","Among the people you know, how many do you think really declare all their income when filing their income tax return?",NA,"Bastante","Quite a lot",2
"spain_2017_politics_fraud","spain_2017_politics_fraud_1","p19","CIS Estudio 3184, Opinión pública y política fiscal (XXXIV) (julio 2017), P.18-P.20 y P.24: percepción del fraude fiscal","Spanish",NA,NA,NA,NA,"Entre la gente que conoce, ¿cuánta cree Ud. que declara realmente todos sus ingresos al hacer la declaración de la renta?","Among the people you know, how many do you think really declare all their income when filing their income tax return?",NA,"Poca","Few",3
"spain_2017_politics_fraud","spain_2017_politics_fraud_1","p19","CIS Estudio 3184, Opinión pública y política fiscal (XXXIV) (julio 2017), P.18-P.20 y P.24: percepción del fraude fiscal","Spanish",NA,NA,NA,NA,"Entre la gente que conoce, ¿cuánta cree Ud. que declara realmente todos sus ingresos al hacer la declaración de la renta?","Among the people you know, how many do you think really declare all their income when filing their income tax return?",NA,"Ninguna","None",4
"spain_2017_politics_fraud","spain_2017_politics_fraud_1","p20","CIS Estudio 3184, Opinión pública y política fiscal (XXXIV) (julio 2017), P.18-P.20 y P.24: percepción del fraude fiscal","Spanish",NA,NA,NA,NA,"Y entre la gente que Ud. conoce que está obligada a declarar el IVA (profesionales, autónomos/as, etc.), ¿cuánta cree Ud. que declara realmente todos sus ingresos al hacer la declaración del IVA?","And among the people you know who are required to file VAT returns (professionals, self-employed workers, etc.), how many do you think really declare all their income when filing their VAT return?",NA,"Toda o casi toda","All or almost all",1
"spain_2017_politics_fraud","spain_2017_politics_fraud_1","p20","CIS Estudio 3184, Opinión pública y política fiscal (XXXIV) (julio 2017), P.18-P.20 y P.24: percepción del fraude fiscal","Spanish",NA,NA,NA,NA,"Y entre la gente que Ud. conoce que está obligada a declarar el IVA (profesionales, autónomos/as, etc.), ¿cuánta cree Ud. que declara realmente todos sus ingresos al hacer la declaración del IVA?","And among the people you know who are required to file VAT returns (professionals, self-employed workers, etc.), how many do you think really declare all their income when filing their VAT return?",NA,"Bastante","Quite a lot",2
