"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_1","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Los salarios","Wages",NA,"Más bien beneficiosa","Rather beneficial",1
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_1","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Los salarios","Wages",NA,"Ni beneficiosa ni perjudicial","Neither beneficial nor harmful",2
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_1","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Los salarios","Wages",NA,"Más bien perjudicial","Rather harmful",3
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_2","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Los precios de bienes y consumos","The prices of goods and consumer products",NA,"Más bien beneficiosa","Rather beneficial",1
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_2","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Los precios de bienes y consumos","The prices of goods and consumer products",NA,"Ni beneficiosa ni perjudicial","Neither beneficial nor harmful",2
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_2","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Los precios de bienes y consumos","The prices of goods and consumer products",NA,"Más bien perjudicial","Rather harmful",3
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_3","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Las oportunidades para encontrar empleo","Opportunities to find employment",NA,"Más bien beneficiosa","Rather beneficial",1
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_3","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Las oportunidades para encontrar empleo","Opportunities to find employment",NA,"Ni beneficiosa ni perjudicial","Neither beneficial nor harmful",2
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_3","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Las oportunidades para encontrar empleo","Opportunities to find employment",NA,"Más bien perjudicial","Rather harmful",3
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_4","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"La cultura","Culture",NA,"Más bien beneficiosa","Rather beneficial",1
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_4","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"La cultura","Culture",NA,"Ni beneficiosa ni perjudicial","Neither beneficial nor harmful",2
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_4","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"La cultura","Culture",NA,"Más bien perjudicial","Rather harmful",3
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_5","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"El desarrollo de las regiones más desfavorecidas","The development of the most disadvantaged regions",NA,"Más bien beneficiosa","Rather beneficial",1
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_5","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"El desarrollo de las regiones más desfavorecidas","The development of the most disadvantaged regions",NA,"Ni beneficiosa ni perjudicial","Neither beneficial nor harmful",2
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_5","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"El desarrollo de las regiones más desfavorecidas","The development of the most disadvantaged regions",NA,"Más bien perjudicial","Rather harmful",3
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_6","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Las oportunidades de hacer negocios","Opportunities to do business",NA,"Más bien beneficiosa","Rather beneficial",1
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_6","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Las oportunidades de hacer negocios","Opportunities to do business",NA,"Ni beneficiosa ni perjudicial","Neither beneficial nor harmful",2
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_6","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"Las oportunidades de hacer negocios","Opportunities to do business",NA,"Más bien perjudicial","Rather harmful",3
"spain_2025_europe_effects","spain_2025_europe_effects_1","p8_7","CIS Estudio 3523, Opiniones y actitudes ante la Unión Europea (II) (junio 2025), P.8: efectos de la pertenencia de España a la Unión Europea","Spanish","Y, más en concreto, ¿cree Ud. que la pertenencia de España a la Unión Europea es más bien beneficiosa o más bien perjudicial para...?","And, more specifically, do you think that Spain's membership of the European Union is rather beneficial or rather harmful for...?",NA,NA,"El peso de España en el mundo","Spain's weight in the world",NA,"Más bien beneficiosa","Rather beneficial",1
