"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"mexico_2023_mobility_necessities","mexico_2023_mobility_necessities_1","p105a","ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.105: bienes y servicios indispensables para vivir dignamente","Spanish","Quisiéramos su ayuda para entender qué significa vivir dignamente en México. Para ello, le mencionaré algunas cosas que la gente puede o no tener. Por favor dígame cuáles cree que son indispensables para que una persona pueda vivir dignamente en nuestro país:","We would like your help to understand what it means to live with dignity in Mexico. To do so, I will mention some things that people may or may not have. Please tell me which ones you think are essential for a person to be able to live with dignity in our country:",NA,NA,"Jabón, pasta de dientes y shampoo para la higiene personal","Soap, toothpaste and shampoo for personal hygiene",NA,"Sí, es necesario","Yes, it is necessary",1
"mexico_2023_mobility_necessities","mexico_2023_mobility_necessities_1","p105a","ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.105: bienes y servicios indispensables para vivir dignamente","Spanish","Quisiéramos su ayuda para entender qué significa vivir dignamente en México. Para ello, le mencionaré algunas cosas que la gente puede o no tener. Por favor dígame cuáles cree que son indispensables para que una persona pueda vivir dignamente en nuestro país:","We would like your help to understand what it means to live with dignity in Mexico. To do so, I will mention some things that people may or may not have. Please tell me which ones you think are essential for a person to be able to live with dignity in our country:",NA,NA,"Jabón, pasta de dientes y shampoo para la higiene personal","Soap, toothpaste and shampoo for personal hygiene",NA,"No es necesario","It is not necessary",2
"mexico_2023_mobility_necessities","mexico_2023_mobility_necessities_1","p105b","ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.105: bienes y servicios indispensables para vivir dignamente","Spanish","Quisiéramos su ayuda para entender qué significa vivir dignamente en México. Para ello, le mencionaré algunas cosas que la gente puede o no tener. Por favor dígame cuáles cree que son indispensables para que una persona pueda vivir dignamente en nuestro país:","We would like your help to understand what it means to live with dignity in Mexico. To do so, I will mention some things that people may or may not have. Please tell me which ones you think are essential for a person to be able to live with dignity in our country:",NA,NA,"Una mesa con suficientes sillas para que toda la familia pueda sentarse a comer","A table with enough chairs so that the whole family can sit down to eat",NA,"Sí, es necesario","Yes, it is necessary",1
"mexico_2023_mobility_necessities","mexico_2023_mobility_necessities_1","p105b","ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.105: bienes y servicios indispensables para vivir dignamente","Spanish","Quisiéramos su ayuda para entender qué significa vivir dignamente en México. Para ello, le mencionaré algunas cosas que la gente puede o no tener. Por favor dígame cuáles cree que son indispensables para que una persona pueda vivir dignamente en nuestro país:","We would like your help to understand what it means to live with dignity in Mexico. To do so, I will mention some things that people may or may not have. Please tell me which ones you think are essential for a person to be able to live with dignity in our country:",NA,NA,"Una mesa con suficientes sillas para que toda la familia pueda sentarse a comer","A table with enough chairs so that the whole family can sit down to eat",NA,"No es necesario","It is not necessary",2
"mexico_2023_mobility_necessities","mexico_2023_mobility_necessities_1","p105c","ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.105: bienes y servicios indispensables para vivir dignamente","Spanish","Quisiéramos su ayuda para entender qué significa vivir dignamente en México. Para ello, le mencionaré algunas cosas que la gente puede o no tener. Por favor dígame cuáles cree que son indispensables para que una persona pueda vivir dignamente en nuestro país:","We would like your help to understand what it means to live with dignity in Mexico. To do so, I will mention some things that people may or may not have. Please tell me which ones you think are essential for a person to be able to live with dignity in our country:",NA,NA,"Cuartos para dormir de la vivienda con ventanas de vidrio/vidrio plástico en buen estado (no rotas o quebradas)","Bedrooms in the dwelling with glass/plastic-glass windows in good condition (not cracked or broken)",NA,"Sí, es necesario","Yes, it is necessary",1
"mexico_2023_mobility_necessities","mexico_2023_mobility_necessities_1","p105c","ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.105: bienes y servicios indispensables para vivir dignamente","Spanish","Quisiéramos su ayuda para entender qué significa vivir dignamente en México. Para ello, le mencionaré algunas cosas que la gente puede o no tener. Por favor dígame cuáles cree que son indispensables para que una persona pueda vivir dignamente en nuestro país:","We would like your help to understand what it means to live with dignity in Mexico. To do so, I will mention some things that people may or may not have. Please tell me which ones you think are essential for a person to be able to live with dignity in our country:",NA,NA,"Cuartos para dormir de la vivienda con ventanas de vidrio/vidrio plástico en buen estado (no rotas o quebradas)","Bedrooms in the dwelling with glass/plastic-glass windows in good condition (not cracked or broken)",NA,"No es necesario","It is not necessary",2
"mexico_2023_mobility_necessities","mexico_2023_mobility_necessities_1","p105d","ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.105: bienes y servicios indispensables para vivir dignamente","Spanish","Quisiéramos su ayuda para entender qué significa vivir dignamente en México. Para ello, le mencionaré algunas cosas que la gente puede o no tener. Por favor dígame cuáles cree que son indispensables para que una persona pueda vivir dignamente en nuestro país:","We would like your help to understand what it means to live with dignity in Mexico. To do so, I will mention some things that people may or may not have. Please tell me which ones you think are essential for a person to be able to live with dignity in our country:",NA,NA,"Por lo menos un cuarto de baño exclusivo en la vivienda con regadera fija","At least one bathroom exclusive to the dwelling with a fixed shower",NA,"Sí, es necesario","Yes, it is necessary",1
"mexico_2023_mobility_necessities","mexico_2023_mobility_necessities_1","p105d","ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.105: bienes y servicios indispensables para vivir dignamente","Spanish","Quisiéramos su ayuda para entender qué significa vivir dignamente en México. Para ello, le mencionaré algunas cosas que la gente puede o no tener. Por favor dígame cuáles cree que son indispensables para que una persona pueda vivir dignamente en nuestro país:","We would like your help to understand what it means to live with dignity in Mexico. To do so, I will mention some things that people may or may not have. Please tell me which ones you think are essential for a person to be able to live with dignity in our country:",NA,NA,"Por lo menos un cuarto de baño exclusivo en la vivienda con regadera fija","At least one bathroom exclusive to the dwelling with a fixed shower",NA,"No es necesario","It is not necessary",2
"mexico_2023_mobility_necessities","mexico_2023_mobility_necessities_1","p105e","ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.105: bienes y servicios indispensables para vivir dignamente","Spanish","Quisiéramos su ayuda para entender qué significa vivir dignamente en México. Para ello, le mencionaré algunas cosas que la gente puede o no tener. Por favor dígame cuáles cree que son indispensables para que una persona pueda vivir dignamente en nuestro país:","We would like your help to understand what it means to live with dignity in Mexico. To do so, I will mention some things that people may or may not have. Please tell me which ones you think are essential for a person to be able to live with dignity in our country:",NA,NA,"Conexión fija (wi-fi) a internet en la vivienda (no de celulares)","A fixed (wi-fi) internet connection in the dwelling (not from cell phones)",NA,"Sí, es necesario","Yes, it is necessary",1
"mexico_2023_mobility_necessities","mexico_2023_mobility_necessities_1","p105e","ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.105: bienes y servicios indispensables para vivir dignamente","Spanish","Quisiéramos su ayuda para entender qué significa vivir dignamente en México. Para ello, le mencionaré algunas cosas que la gente puede o no tener. Por favor dígame cuáles cree que son indispensables para que una persona pueda vivir dignamente en nuestro país:","We would like your help to understand what it means to live with dignity in Mexico. To do so, I will mention some things that people may or may not have. Please tell me which ones you think are essential for a person to be able to live with dignity in our country:",NA,NA,"Conexión fija (wi-fi) a internet en la vivienda (no de celulares)","A fixed (wi-fi) internet connection in the dwelling (not from cell phones)",NA,"No es necesario","It is not necessary",2
"mexico_2023_mobility_necessities","mexico_2023_mobility_necessities_1","p105f","ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México 2023, Centro de Estudios Espinosa Yglesias), Cuestionario básico, P.105: bienes y servicios indispensables para vivir dignamente","Spanish","Quisiéramos su ayuda para entender qué significa vivir dignamente en México. Para ello, le mencionaré algunas cosas que la gente puede o no tener. Por favor dígame cuáles cree que son indispensables para que una persona pueda vivir dignamente en nuestro país:","We would like your help to understand what it means to live with dignity in Mexico. To do so, I will mention some things that people may or may not have. Please tell me which ones you think are essential for a person to be able to live with dignity in our country:",NA,NA,"Refrigerador que funciona","A refrigerator that works",NA,"Sí, es necesario","Yes, it is necessary",1
