"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2025_ai_association","spain_2025_ai_association_1","p3_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.3: grado en que asocia una serie de palabras a los avances tecnológicos","Spanish","A continuación voy a leerle una serie de palabras y me gustaría saber en qué grado asocia cada una de ellas a los avances tecnológicos. Utilice una escala de 1 a 10 donde el 1 significa que Ud. en ninguna medida lo asocia con avances tecnológicos y el 10 que lo asocia en gran medida.","Next I am going to read you a series of words and I would like to know to what degree you associate each of them with technological advances. Use a scale from 1 to 10 where 1 means that you do not associate it with technological advances at all and 10 that you associate it to a great extent.",NA,NA,"Progreso","Progress",NA,"En ninguna medida","Not at all",1
"spain_2025_ai_association","spain_2025_ai_association_1","p3_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.3: grado en que asocia una serie de palabras a los avances tecnológicos","Spanish","A continuación voy a leerle una serie de palabras y me gustaría saber en qué grado asocia cada una de ellas a los avances tecnológicos. Utilice una escala de 1 a 10 donde el 1 significa que Ud. en ninguna medida lo asocia con avances tecnológicos y el 10 que lo asocia en gran medida.","Next I am going to read you a series of words and I would like to know to what degree you associate each of them with technological advances. Use a scale from 1 to 10 where 1 means that you do not associate it with technological advances at all and 10 that you associate it to a great extent.",NA,NA,"Progreso","Progress",NA,NA,NA,2
"spain_2025_ai_association","spain_2025_ai_association_1","p3_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.3: grado en que asocia una serie de palabras a los avances tecnológicos","Spanish","A continuación voy a leerle una serie de palabras y me gustaría saber en qué grado asocia cada una de ellas a los avances tecnológicos. Utilice una escala de 1 a 10 donde el 1 significa que Ud. en ninguna medida lo asocia con avances tecnológicos y el 10 que lo asocia en gran medida.","Next I am going to read you a series of words and I would like to know to what degree you associate each of them with technological advances. Use a scale from 1 to 10 where 1 means that you do not associate it with technological advances at all and 10 that you associate it to a great extent.",NA,NA,"Progreso","Progress",NA,NA,NA,3
"spain_2025_ai_association","spain_2025_ai_association_1","p3_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.3: grado en que asocia una serie de palabras a los avances tecnológicos","Spanish","A continuación voy a leerle una serie de palabras y me gustaría saber en qué grado asocia cada una de ellas a los avances tecnológicos. Utilice una escala de 1 a 10 donde el 1 significa que Ud. en ninguna medida lo asocia con avances tecnológicos y el 10 que lo asocia en gran medida.","Next I am going to read you a series of words and I would like to know to what degree you associate each of them with technological advances. Use a scale from 1 to 10 where 1 means that you do not associate it with technological advances at all and 10 that you associate it to a great extent.",NA,NA,"Progreso","Progress",NA,NA,NA,4
"spain_2025_ai_association","spain_2025_ai_association_1","p3_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.3: grado en que asocia una serie de palabras a los avances tecnológicos","Spanish","A continuación voy a leerle una serie de palabras y me gustaría saber en qué grado asocia cada una de ellas a los avances tecnológicos. Utilice una escala de 1 a 10 donde el 1 significa que Ud. en ninguna medida lo asocia con avances tecnológicos y el 10 que lo asocia en gran medida.","Next I am going to read you a series of words and I would like to know to what degree you associate each of them with technological advances. Use a scale from 1 to 10 where 1 means that you do not associate it with technological advances at all and 10 that you associate it to a great extent.",NA,NA,"Progreso","Progress",NA,NA,NA,5
"spain_2025_ai_association","spain_2025_ai_association_1","p3_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.3: grado en que asocia una serie de palabras a los avances tecnológicos","Spanish","A continuación voy a leerle una serie de palabras y me gustaría saber en qué grado asocia cada una de ellas a los avances tecnológicos. Utilice una escala de 1 a 10 donde el 1 significa que Ud. en ninguna medida lo asocia con avances tecnológicos y el 10 que lo asocia en gran medida.","Next I am going to read you a series of words and I would like to know to what degree you associate each of them with technological advances. Use a scale from 1 to 10 where 1 means that you do not associate it with technological advances at all and 10 that you associate it to a great extent.",NA,NA,"Progreso","Progress",NA,NA,NA,6
"spain_2025_ai_association","spain_2025_ai_association_1","p3_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.3: grado en que asocia una serie de palabras a los avances tecnológicos","Spanish","A continuación voy a leerle una serie de palabras y me gustaría saber en qué grado asocia cada una de ellas a los avances tecnológicos. Utilice una escala de 1 a 10 donde el 1 significa que Ud. en ninguna medida lo asocia con avances tecnológicos y el 10 que lo asocia en gran medida.","Next I am going to read you a series of words and I would like to know to what degree you associate each of them with technological advances. Use a scale from 1 to 10 where 1 means that you do not associate it with technological advances at all and 10 that you associate it to a great extent.",NA,NA,"Progreso","Progress",NA,NA,NA,7
"spain_2025_ai_association","spain_2025_ai_association_1","p3_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.3: grado en que asocia una serie de palabras a los avances tecnológicos","Spanish","A continuación voy a leerle una serie de palabras y me gustaría saber en qué grado asocia cada una de ellas a los avances tecnológicos. Utilice una escala de 1 a 10 donde el 1 significa que Ud. en ninguna medida lo asocia con avances tecnológicos y el 10 que lo asocia en gran medida.","Next I am going to read you a series of words and I would like to know to what degree you associate each of them with technological advances. Use a scale from 1 to 10 where 1 means that you do not associate it with technological advances at all and 10 that you associate it to a great extent.",NA,NA,"Progreso","Progress",NA,NA,NA,8
"spain_2025_ai_association","spain_2025_ai_association_1","p3_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.3: grado en que asocia una serie de palabras a los avances tecnológicos","Spanish","A continuación voy a leerle una serie de palabras y me gustaría saber en qué grado asocia cada una de ellas a los avances tecnológicos. Utilice una escala de 1 a 10 donde el 1 significa que Ud. en ninguna medida lo asocia con avances tecnológicos y el 10 que lo asocia en gran medida.","Next I am going to read you a series of words and I would like to know to what degree you associate each of them with technological advances. Use a scale from 1 to 10 where 1 means that you do not associate it with technological advances at all and 10 that you associate it to a great extent.",NA,NA,"Progreso","Progress",NA,NA,NA,9
"spain_2025_ai_association","spain_2025_ai_association_1","p3_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.3: grado en que asocia una serie de palabras a los avances tecnológicos","Spanish","A continuación voy a leerle una serie de palabras y me gustaría saber en qué grado asocia cada una de ellas a los avances tecnológicos. Utilice una escala de 1 a 10 donde el 1 significa que Ud. en ninguna medida lo asocia con avances tecnológicos y el 10 que lo asocia en gran medida.","Next I am going to read you a series of words and I would like to know to what degree you associate each of them with technological advances. Use a scale from 1 to 10 where 1 means that you do not associate it with technological advances at all and 10 that you associate it to a great extent.",NA,NA,"Progreso","Progress",NA,"En gran medida","To a great extent",10
