"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2012_gender_beliefs","spain_2012_gender_beliefs_1","p901","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.9: acuerdo con afirmaciones sobre agresores y mujeres maltratadas","Spanish","¿Está Ud. muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes afirmaciones?","Do you strongly agree, quite agree, slightly agree or not agree at all with the following statements?",NA,NA,"Hay más agresores entre los extranjeros que entre los españoles","There are more abusers among foreigners than among Spaniards",NA,"Muy de acuerdo","Strongly agree",1
"spain_2012_gender_beliefs","spain_2012_gender_beliefs_1","p901","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.9: acuerdo con afirmaciones sobre agresores y mujeres maltratadas","Spanish","¿Está Ud. muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes afirmaciones?","Do you strongly agree, quite agree, slightly agree or not agree at all with the following statements?",NA,NA,"Hay más agresores entre los extranjeros que entre los españoles","There are more abusers among foreigners than among Spaniards",NA,"Bastante de acuerdo","Quite agree",2
"spain_2012_gender_beliefs","spain_2012_gender_beliefs_1","p901","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.9: acuerdo con afirmaciones sobre agresores y mujeres maltratadas","Spanish","¿Está Ud. muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes afirmaciones?","Do you strongly agree, quite agree, slightly agree or not agree at all with the following statements?",NA,NA,"Hay más agresores entre los extranjeros que entre los españoles","There are more abusers among foreigners than among Spaniards",NA,"Poco de acuerdo","Slightly agree",3
"spain_2012_gender_beliefs","spain_2012_gender_beliefs_1","p901","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.9: acuerdo con afirmaciones sobre agresores y mujeres maltratadas","Spanish","¿Está Ud. muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes afirmaciones?","Do you strongly agree, quite agree, slightly agree or not agree at all with the following statements?",NA,NA,"Hay más agresores entre los extranjeros que entre los españoles","There are more abusers among foreigners than among Spaniards",NA,"Nada de acuerdo","Do not agree at all",4
"spain_2012_gender_beliefs","spain_2012_gender_beliefs_1","p902","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.9: acuerdo con afirmaciones sobre agresores y mujeres maltratadas","Spanish","¿Está Ud. muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes afirmaciones?","Do you strongly agree, quite agree, slightly agree or not agree at all with the following statements?",NA,NA,"Las mujeres que sufren malos tratos los consienten porque son dependientes económicamente","Women who suffer abuse allow it because they are economically dependent",NA,"Muy de acuerdo","Strongly agree",1
"spain_2012_gender_beliefs","spain_2012_gender_beliefs_1","p902","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.9: acuerdo con afirmaciones sobre agresores y mujeres maltratadas","Spanish","¿Está Ud. muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes afirmaciones?","Do you strongly agree, quite agree, slightly agree or not agree at all with the following statements?",NA,NA,"Las mujeres que sufren malos tratos los consienten porque son dependientes económicamente","Women who suffer abuse allow it because they are economically dependent",NA,"Bastante de acuerdo","Quite agree",2
"spain_2012_gender_beliefs","spain_2012_gender_beliefs_1","p902","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.9: acuerdo con afirmaciones sobre agresores y mujeres maltratadas","Spanish","¿Está Ud. muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes afirmaciones?","Do you strongly agree, quite agree, slightly agree or not agree at all with the following statements?",NA,NA,"Las mujeres que sufren malos tratos los consienten porque son dependientes económicamente","Women who suffer abuse allow it because they are economically dependent",NA,"Poco de acuerdo","Slightly agree",3
"spain_2012_gender_beliefs","spain_2012_gender_beliefs_1","p902","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.9: acuerdo con afirmaciones sobre agresores y mujeres maltratadas","Spanish","¿Está Ud. muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes afirmaciones?","Do you strongly agree, quite agree, slightly agree or not agree at all with the following statements?",NA,NA,"Las mujeres que sufren malos tratos los consienten porque son dependientes económicamente","Women who suffer abuse allow it because they are economically dependent",NA,"Nada de acuerdo","Do not agree at all",4
"spain_2012_gender_beliefs","spain_2012_gender_beliefs_1","p903","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.9: acuerdo con afirmaciones sobre agresores y mujeres maltratadas","Spanish","¿Está Ud. muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes afirmaciones?","Do you strongly agree, quite agree, slightly agree or not agree at all with the following statements?",NA,NA,"Las víctimas aguantan por los/as hijos/as","Victims put up with it for the sake of their children",NA,"Muy de acuerdo","Strongly agree",1
"spain_2012_gender_beliefs","spain_2012_gender_beliefs_1","p903","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.9: acuerdo con afirmaciones sobre agresores y mujeres maltratadas","Spanish","¿Está Ud. muy de acuerdo, bastante, poco o nada de acuerdo con las siguientes afirmaciones?","Do you strongly agree, quite agree, slightly agree or not agree at all with the following statements?",NA,NA,"Las víctimas aguantan por los/as hijos/as","Victims put up with it for the sake of their children",NA,"Bastante de acuerdo","Quite agree",2
