"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2012_gender_custody","spain_2012_gender_custody_1","p2701","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.27: grado de acuerdo con afirmaciones sobre la custodia de los hijos e hijas menores","Spanish","Y respecto a la custodia de los hijos e hijas menores de edad, indique su grado de acuerdo con las siguientes afirmaciones: muy de acuerdo, bastante, poco o nada de acuerdo.","And regarding custody of underage sons and daughters, indicate how much you agree with the following statements: strongly agree, quite, slightly or not at all in agreement.",NA,NA,"Que un hombre maltrate a su pareja no tiene por qué implicar que sea un mal padre","That a man abuses his partner does not necessarily mean that he is a bad father",NA,"Muy de acuerdo","Strongly agree",1
"spain_2012_gender_custody","spain_2012_gender_custody_1","p2701","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.27: grado de acuerdo con afirmaciones sobre la custodia de los hijos e hijas menores","Spanish","Y respecto a la custodia de los hijos e hijas menores de edad, indique su grado de acuerdo con las siguientes afirmaciones: muy de acuerdo, bastante, poco o nada de acuerdo.","And regarding custody of underage sons and daughters, indicate how much you agree with the following statements: strongly agree, quite, slightly or not at all in agreement.",NA,NA,"Que un hombre maltrate a su pareja no tiene por qué implicar que sea un mal padre","That a man abuses his partner does not necessarily mean that he is a bad father",NA,"Bastante de acuerdo","Quite agree",2
"spain_2012_gender_custody","spain_2012_gender_custody_1","p2701","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.27: grado de acuerdo con afirmaciones sobre la custodia de los hijos e hijas menores","Spanish","Y respecto a la custodia de los hijos e hijas menores de edad, indique su grado de acuerdo con las siguientes afirmaciones: muy de acuerdo, bastante, poco o nada de acuerdo.","And regarding custody of underage sons and daughters, indicate how much you agree with the following statements: strongly agree, quite, slightly or not at all in agreement.",NA,NA,"Que un hombre maltrate a su pareja no tiene por qué implicar que sea un mal padre","That a man abuses his partner does not necessarily mean that he is a bad father",NA,"Poco de acuerdo","Slightly agree",3
"spain_2012_gender_custody","spain_2012_gender_custody_1","p2701","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.27: grado de acuerdo con afirmaciones sobre la custodia de los hijos e hijas menores","Spanish","Y respecto a la custodia de los hijos e hijas menores de edad, indique su grado de acuerdo con las siguientes afirmaciones: muy de acuerdo, bastante, poco o nada de acuerdo.","And regarding custody of underage sons and daughters, indicate how much you agree with the following statements: strongly agree, quite, slightly or not at all in agreement.",NA,NA,"Que un hombre maltrate a su pareja no tiene por qué implicar que sea un mal padre","That a man abuses his partner does not necessarily mean that he is a bad father",NA,"Nada de acuerdo","Do not agree at all",4
"spain_2012_gender_custody","spain_2012_gender_custody_1","p2702","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.27: grado de acuerdo con afirmaciones sobre la custodia de los hijos e hijas menores","Spanish","Y respecto a la custodia de los hijos e hijas menores de edad, indique su grado de acuerdo con las siguientes afirmaciones: muy de acuerdo, bastante, poco o nada de acuerdo.","And regarding custody of underage sons and daughters, indicate how much you agree with the following statements: strongly agree, quite, slightly or not at all in agreement.",NA,NA,"Si hay sentencia condenatoria firme, se debería quitar la custodia de los/as menores al maltratador","If there is a final conviction, custody of the children should be taken away from the abuser",NA,"Muy de acuerdo","Strongly agree",1
"spain_2012_gender_custody","spain_2012_gender_custody_1","p2702","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.27: grado de acuerdo con afirmaciones sobre la custodia de los hijos e hijas menores","Spanish","Y respecto a la custodia de los hijos e hijas menores de edad, indique su grado de acuerdo con las siguientes afirmaciones: muy de acuerdo, bastante, poco o nada de acuerdo.","And regarding custody of underage sons and daughters, indicate how much you agree with the following statements: strongly agree, quite, slightly or not at all in agreement.",NA,NA,"Si hay sentencia condenatoria firme, se debería quitar la custodia de los/as menores al maltratador","If there is a final conviction, custody of the children should be taken away from the abuser",NA,"Bastante de acuerdo","Quite agree",2
"spain_2012_gender_custody","spain_2012_gender_custody_1","p2702","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.27: grado de acuerdo con afirmaciones sobre la custodia de los hijos e hijas menores","Spanish","Y respecto a la custodia de los hijos e hijas menores de edad, indique su grado de acuerdo con las siguientes afirmaciones: muy de acuerdo, bastante, poco o nada de acuerdo.","And regarding custody of underage sons and daughters, indicate how much you agree with the following statements: strongly agree, quite, slightly or not at all in agreement.",NA,NA,"Si hay sentencia condenatoria firme, se debería quitar la custodia de los/as menores al maltratador","If there is a final conviction, custody of the children should be taken away from the abuser",NA,"Poco de acuerdo","Slightly agree",3
"spain_2012_gender_custody","spain_2012_gender_custody_1","p2702","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.27: grado de acuerdo con afirmaciones sobre la custodia de los hijos e hijas menores","Spanish","Y respecto a la custodia de los hijos e hijas menores de edad, indique su grado de acuerdo con las siguientes afirmaciones: muy de acuerdo, bastante, poco o nada de acuerdo.","And regarding custody of underage sons and daughters, indicate how much you agree with the following statements: strongly agree, quite, slightly or not at all in agreement.",NA,NA,"Si hay sentencia condenatoria firme, se debería quitar la custodia de los/as menores al maltratador","If there is a final conviction, custody of the children should be taken away from the abuser",NA,"Nada de acuerdo","Do not agree at all",4
"spain_2012_gender_custody","spain_2012_gender_custody_1","p2703","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.27: grado de acuerdo con afirmaciones sobre la custodia de los hijos e hijas menores","Spanish","Y respecto a la custodia de los hijos e hijas menores de edad, indique su grado de acuerdo con las siguientes afirmaciones: muy de acuerdo, bastante, poco o nada de acuerdo.","And regarding custody of underage sons and daughters, indicate how much you agree with the following statements: strongly agree, quite, slightly or not at all in agreement.",NA,NA,"Los padres deben tener derecho, por encima de todo a la custodia de sus hijos e hijas","Fathers should have the right, above all else, to custody of their sons and daughters",NA,"Muy de acuerdo","Strongly agree",1
"spain_2012_gender_custody","spain_2012_gender_custody_1","p2703","CIS Estudio 2968, Percepción social de la violencia de género (noviembre-diciembre 2012), P.27: grado de acuerdo con afirmaciones sobre la custodia de los hijos e hijas menores","Spanish","Y respecto a la custodia de los hijos e hijas menores de edad, indique su grado de acuerdo con las siguientes afirmaciones: muy de acuerdo, bastante, poco o nada de acuerdo.","And regarding custody of underage sons and daughters, indicate how much you agree with the following statements: strongly agree, quite, slightly or not at all in agreement.",NA,NA,"Los padres deben tener derecho, por encima de todo a la custodia de sus hijos e hijas","Fathers should have the right, above all else, to custody of their sons and daughters",NA,"Bastante de acuerdo","Quite agree",2
