"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","item_text_translated","option_text_translated","instructions_translated","section_prompt_translated","language","resp_raw"
"enem_2022_1mil_ch","enem_2022_1mil_ch_1",96291,"ENEM 2022 - CH","9
LARANJA
1º DIA
ATENÇÃO: transcreva no espaço apropriado do seu CARTÃO-RESPOSTA,
com sua caligrafia usual, considerando as letras maiúsculas e minúsculas, a seguinte frase:
LEIA ATENTAMENTE AS INSTRUÇÕES SEGUINTES:
1.  Este CADERNO DE QUESTÕES contém 90 questões numeradas de 01 a 90 e a Proposta de Redação, 
dispostas da seguinte maneira: 
a) questões de número 01 a 45, relativas à área de Linguagens, Códigos e suas Tecnologias;
b) Proposta de Redação;
c) questões de número 46 a 90, relativas à área de Ciências Humanas e suas Tecnologias. 
  ATENÇÃO: as questões de 01 a 05 são relativas à língua estrangeira. Você deverá responder apenas 
às questões relativas à língua estrangeira (inglês ou espanhol) escolhida no ato de sua inscrição. 
2.  Confira se a quantidade e a ordem das questões do seu CADERNO DE QUESTÕES estão de acordo 
com as instruções anteriores. Caso o caderno esteja incompleto, tenha defeito ou apresente qualquer 
divergência, comunique ao aplicador da sala para que ele tome as providências cabíveis. 
3.  Para cada uma das questões objetivas, são apresentadas 5 opções. Apenas uma responde 
corretamente à questão. 
4. O tempo disponível para estas provas é de cinco horas e trinta minutos. 
5. Reserve tempo suficiente para preencher o CARTÃO-RESPOSTA e a FOLHA DE REDAÇÃO. 
6.  Os rascunhos e as marcações assinaladas no CADERNO DE QUESTÕES não serão considerados na 
avaliação. 
7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 
8.  Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES 
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO. 
9.  Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e 
poderá levar seu CADERNO DE QUESTÕES ao deixar em definitivo a sala de prova nos 30 minutos 
que antecedem o término das provas. 
EXAME NACIONAL DO ENSINO MÉDIO
PROVA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO
PROVA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS
09
Força e coragem com a natureza.
2 

LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS
Questões de 01 a 45 
Questões de 01 a 05 (opção: inglês)",NA,"Empédocles estabelece quatro elementos corporais 
— fogo, ar, água e terra —, que são eternos e que mudam 
aumentando e diminuindo mediante mistura e separação; 
mas os princípios propriamente ditos, pelos quais aqueles 
são movidos, são o Amor e o Ódio. Pois é preciso que os 
elementos permaneçam alternadamente em movimento, 
sendo ora misturados pelo Amor, ora separados pelo Ódio. 
O texto propõe uma reflexão sobre o entendimento de 
Empédocles acerca da arché, uma preocupação típica do 
pensamento pré-socrático, porque","C","A exalta a investigação filosófica.",0,NA,NA,NA,NA,"Portuguese","A"
"enem_2022_1mil_ch","enem_2022_1mil_ch_1",96291,"ENEM 2022 - CH","9
LARANJA
1º DIA
ATENÇÃO: transcreva no espaço apropriado do seu CARTÃO-RESPOSTA,
com sua caligrafia usual, considerando as letras maiúsculas e minúsculas, a seguinte frase:
LEIA ATENTAMENTE AS INSTRUÇÕES SEGUINTES:
1.  Este CADERNO DE QUESTÕES contém 90 questões numeradas de 01 a 90 e a Proposta de Redação, 
dispostas da seguinte maneira: 
a) questões de número 01 a 45, relativas à área de Linguagens, Códigos e suas Tecnologias;
b) Proposta de Redação;
c) questões de número 46 a 90, relativas à área de Ciências Humanas e suas Tecnologias. 
  ATENÇÃO: as questões de 01 a 05 são relativas à língua estrangeira. Você deverá responder apenas 
às questões relativas à língua estrangeira (inglês ou espanhol) escolhida no ato de sua inscrição. 
2.  Confira se a quantidade e a ordem das questões do seu CADERNO DE QUESTÕES estão de acordo 
com as instruções anteriores. Caso o caderno esteja incompleto, tenha defeito ou apresente qualquer 
divergência, comunique ao aplicador da sala para que ele tome as providências cabíveis. 
3.  Para cada uma das questões objetivas, são apresentadas 5 opções. Apenas uma responde 
corretamente à questão. 
4. O tempo disponível para estas provas é de cinco horas e trinta minutos. 
5. Reserve tempo suficiente para preencher o CARTÃO-RESPOSTA e a FOLHA DE REDAÇÃO. 
6.  Os rascunhos e as marcações assinaladas no CADERNO DE QUESTÕES não serão considerados na 
avaliação. 
7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 
8.  Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES 
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO. 
9.  Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e 
poderá levar seu CADERNO DE QUESTÕES ao deixar em definitivo a sala de prova nos 30 minutos 
que antecedem o término das provas. 
EXAME NACIONAL DO ENSINO MÉDIO
PROVA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO
PROVA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS
09
Força e coragem com a natureza.
2 

LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS
Questões de 01 a 45 
Questões de 01 a 05 (opção: inglês)",NA,"Empédocles estabelece quatro elementos corporais 
— fogo, ar, água e terra —, que são eternos e que mudam 
aumentando e diminuindo mediante mistura e separação; 
mas os princípios propriamente ditos, pelos quais aqueles 
são movidos, são o Amor e o Ódio. Pois é preciso que os 
elementos permaneçam alternadamente em movimento, 
sendo ora misturados pelo Amor, ora separados pelo Ódio. 
O texto propõe uma reflexão sobre o entendimento de 
Empédocles acerca da arché, uma preocupação típica do 
pensamento pré-socrático, porque","C","B transcende ao mundo sensível.",0,NA,NA,NA,NA,"Portuguese","B"
"enem_2022_1mil_ch","enem_2022_1mil_ch_1",96291,"ENEM 2022 - CH","9
LARANJA
1º DIA
ATENÇÃO: transcreva no espaço apropriado do seu CARTÃO-RESPOSTA,
com sua caligrafia usual, considerando as letras maiúsculas e minúsculas, a seguinte frase:
LEIA ATENTAMENTE AS INSTRUÇÕES SEGUINTES:
1.  Este CADERNO DE QUESTÕES contém 90 questões numeradas de 01 a 90 e a Proposta de Redação, 
dispostas da seguinte maneira: 
a) questões de número 01 a 45, relativas à área de Linguagens, Códigos e suas Tecnologias;
b) Proposta de Redação;
c) questões de número 46 a 90, relativas à área de Ciências Humanas e suas Tecnologias. 
  ATENÇÃO: as questões de 01 a 05 são relativas à língua estrangeira. Você deverá responder apenas 
às questões relativas à língua estrangeira (inglês ou espanhol) escolhida no ato de sua inscrição. 
2.  Confira se a quantidade e a ordem das questões do seu CADERNO DE QUESTÕES estão de acordo 
com as instruções anteriores. Caso o caderno esteja incompleto, tenha defeito ou apresente qualquer 
divergência, comunique ao aplicador da sala para que ele tome as providências cabíveis. 
3.  Para cada uma das questões objetivas, são apresentadas 5 opções. Apenas uma responde 
corretamente à questão. 
4. O tempo disponível para estas provas é de cinco horas e trinta minutos. 
5. Reserve tempo suficiente para preencher o CARTÃO-RESPOSTA e a FOLHA DE REDAÇÃO. 
6.  Os rascunhos e as marcações assinaladas no CADERNO DE QUESTÕES não serão considerados na 
avaliação. 
7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 
8.  Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES 
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO. 
9.  Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e 
poderá levar seu CADERNO DE QUESTÕES ao deixar em definitivo a sala de prova nos 30 minutos 
que antecedem o término das provas. 
EXAME NACIONAL DO ENSINO MÉDIO
PROVA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO
PROVA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS
09
Força e coragem com a natureza.
2 

LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS
Questões de 01 a 45 
Questões de 01 a 05 (opção: inglês)",NA,"Empédocles estabelece quatro elementos corporais 
— fogo, ar, água e terra —, que são eternos e que mudam 
aumentando e diminuindo mediante mistura e separação; 
mas os princípios propriamente ditos, pelos quais aqueles 
são movidos, são o Amor e o Ódio. Pois é preciso que os 
elementos permaneçam alternadamente em movimento, 
sendo ora misturados pelo Amor, ora separados pelo Ódio. 
O texto propõe uma reflexão sobre o entendimento de 
Empédocles acerca da arché, uma preocupação típica do 
pensamento pré-socrático, porque","C","C evoca a discussão cosmogônica.",1,NA,NA,NA,NA,"Portuguese","C"
"enem_2022_1mil_ch","enem_2022_1mil_ch_1",96291,"ENEM 2022 - CH","9
LARANJA
1º DIA
ATENÇÃO: transcreva no espaço apropriado do seu CARTÃO-RESPOSTA,
com sua caligrafia usual, considerando as letras maiúsculas e minúsculas, a seguinte frase:
LEIA ATENTAMENTE AS INSTRUÇÕES SEGUINTES:
1.  Este CADERNO DE QUESTÕES contém 90 questões numeradas de 01 a 90 e a Proposta de Redação, 
dispostas da seguinte maneira: 
a) questões de número 01 a 45, relativas à área de Linguagens, Códigos e suas Tecnologias;
b) Proposta de Redação;
c) questões de número 46 a 90, relativas à área de Ciências Humanas e suas Tecnologias. 
  ATENÇÃO: as questões de 01 a 05 são relativas à língua estrangeira. Você deverá responder apenas 
às questões relativas à língua estrangeira (inglês ou espanhol) escolhida no ato de sua inscrição. 
2.  Confira se a quantidade e a ordem das questões do seu CADERNO DE QUESTÕES estão de acordo 
com as instruções anteriores. Caso o caderno esteja incompleto, tenha defeito ou apresente qualquer 
divergência, comunique ao aplicador da sala para que ele tome as providências cabíveis. 
3.  Para cada uma das questões objetivas, são apresentadas 5 opções. Apenas uma responde 
corretamente à questão. 
4. O tempo disponível para estas provas é de cinco horas e trinta minutos. 
5. Reserve tempo suficiente para preencher o CARTÃO-RESPOSTA e a FOLHA DE REDAÇÃO. 
6.  Os rascunhos e as marcações assinaladas no CADERNO DE QUESTÕES não serão considerados na 
avaliação. 
7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 
8.  Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES 
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO. 
9.  Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e 
poderá levar seu CADERNO DE QUESTÕES ao deixar em definitivo a sala de prova nos 30 minutos 
que antecedem o término das provas. 
EXAME NACIONAL DO ENSINO MÉDIO
PROVA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO
PROVA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS
09
Força e coragem com a natureza.
2 

LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS
Questões de 01 a 45 
Questões de 01 a 05 (opção: inglês)",NA,"Empédocles estabelece quatro elementos corporais 
— fogo, ar, água e terra —, que são eternos e que mudam 
aumentando e diminuindo mediante mistura e separação; 
mas os princípios propriamente ditos, pelos quais aqueles 
são movidos, são o Amor e o Ódio. Pois é preciso que os 
elementos permaneçam alternadamente em movimento, 
sendo ora misturados pelo Amor, ora separados pelo Ódio. 
O texto propõe uma reflexão sobre o entendimento de 
Empédocles acerca da arché, uma preocupação típica do 
pensamento pré-socrático, porque","C","D fundamenta as paixões humanas.",0,NA,NA,NA,NA,"Portuguese","D"
"enem_2022_1mil_ch","enem_2022_1mil_ch_1",96291,"ENEM 2022 - CH","9
LARANJA
1º DIA
ATENÇÃO: transcreva no espaço apropriado do seu CARTÃO-RESPOSTA,
com sua caligrafia usual, considerando as letras maiúsculas e minúsculas, a seguinte frase:
LEIA ATENTAMENTE AS INSTRUÇÕES SEGUINTES:
1.  Este CADERNO DE QUESTÕES contém 90 questões numeradas de 01 a 90 e a Proposta de Redação, 
dispostas da seguinte maneira: 
a) questões de número 01 a 45, relativas à área de Linguagens, Códigos e suas Tecnologias;
b) Proposta de Redação;
c) questões de número 46 a 90, relativas à área de Ciências Humanas e suas Tecnologias. 
  ATENÇÃO: as questões de 01 a 05 são relativas à língua estrangeira. Você deverá responder apenas 
às questões relativas à língua estrangeira (inglês ou espanhol) escolhida no ato de sua inscrição. 
2.  Confira se a quantidade e a ordem das questões do seu CADERNO DE QUESTÕES estão de acordo 
com as instruções anteriores. Caso o caderno esteja incompleto, tenha defeito ou apresente qualquer 
divergência, comunique ao aplicador da sala para que ele tome as providências cabíveis. 
3.  Para cada uma das questões objetivas, são apresentadas 5 opções. Apenas uma responde 
corretamente à questão. 
4. O tempo disponível para estas provas é de cinco horas e trinta minutos. 
5. Reserve tempo suficiente para preencher o CARTÃO-RESPOSTA e a FOLHA DE REDAÇÃO. 
6.  Os rascunhos e as marcações assinaladas no CADERNO DE QUESTÕES não serão considerados na 
avaliação. 
7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 
8.  Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES 
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO. 
9.  Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e 
poderá levar seu CADERNO DE QUESTÕES ao deixar em definitivo a sala de prova nos 30 minutos 
que antecedem o término das provas. 
EXAME NACIONAL DO ENSINO MÉDIO
PROVA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO
PROVA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS
09
Força e coragem com a natureza.
2 

LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS
Questões de 01 a 45 
Questões de 01 a 05 (opção: inglês)",NA,"Empédocles estabelece quatro elementos corporais 
— fogo, ar, água e terra —, que são eternos e que mudam 
aumentando e diminuindo mediante mistura e separação; 
mas os princípios propriamente ditos, pelos quais aqueles 
são movidos, são o Amor e o Ódio. Pois é preciso que os 
elementos permaneçam alternadamente em movimento, 
sendo ora misturados pelo Amor, ora separados pelo Ódio. 
O texto propõe uma reflexão sobre o entendimento de 
Empédocles acerca da arché, uma preocupação típica do 
pensamento pré-socrático, porque","C","E corresponde à explicação mitológica.",0,NA,NA,NA,NA,"Portuguese","E"
"enem_2022_1mil_ch","enem_2022_1mil_ch_1",140572,"ENEM 2022 - CH","9
LARANJA
1º DIA
ATENÇÃO: transcreva no espaço apropriado do seu CARTÃO-RESPOSTA,
com sua caligrafia usual, considerando as letras maiúsculas e minúsculas, a seguinte frase:
LEIA ATENTAMENTE AS INSTRUÇÕES SEGUINTES:
1.  Este CADERNO DE QUESTÕES contém 90 questões numeradas de 01 a 90 e a Proposta de Redação, 
dispostas da seguinte maneira: 
a) questões de número 01 a 45, relativas à área de Linguagens, Códigos e suas Tecnologias;
b) Proposta de Redação;
c) questões de número 46 a 90, relativas à área de Ciências Humanas e suas Tecnologias. 
  ATENÇÃO: as questões de 01 a 05 são relativas à língua estrangeira. Você deverá responder apenas 
às questões relativas à língua estrangeira (inglês ou espanhol) escolhida no ato de sua inscrição. 
2.  Confira se a quantidade e a ordem das questões do seu CADERNO DE QUESTÕES estão de acordo 
com as instruções anteriores. Caso o caderno esteja incompleto, tenha defeito ou apresente qualquer 
divergência, comunique ao aplicador da sala para que ele tome as providências cabíveis. 
3.  Para cada uma das questões objetivas, são apresentadas 5 opções. Apenas uma responde 
corretamente à questão. 
4. O tempo disponível para estas provas é de cinco horas e trinta minutos. 
5. Reserve tempo suficiente para preencher o CARTÃO-RESPOSTA e a FOLHA DE REDAÇÃO. 
6.  Os rascunhos e as marcações assinaladas no CADERNO DE QUESTÕES não serão considerados na 
avaliação. 
7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 
8.  Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES 
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO. 
9.  Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e 
poderá levar seu CADERNO DE QUESTÕES ao deixar em definitivo a sala de prova nos 30 minutos 
que antecedem o término das provas. 
EXAME NACIONAL DO ENSINO MÉDIO
PROVA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO
PROVA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS
09
Força e coragem com a natureza.
2 

LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS
Questões de 01 a 45 
Questões de 01 a 05 (opção: inglês)",NA,"Macrocefalia urbana pode ser entendida como a 
massiva concentração das atividades econômicas em 
algumas metrópoles que propicia o desencadeamento 
de processos descompassados: redirecionamento e 
convergência de fluxos migratórios, déficit no número 
de empregos, ocupação desordenada de determinadas 
regiões da cidade e estigmatização de estratos sociais, 
que comprometem substancialmente a segurança pública 
urbana. 
O processo de concentração espacial apresentado foi 
estimulado por qual fator geográfico?","B","A Limitação da área ocupada.",0,NA,NA,NA,NA,"Portuguese","A"
"enem_2022_1mil_ch","enem_2022_1mil_ch_1",140572,"ENEM 2022 - CH","9
LARANJA
1º DIA
ATENÇÃO: transcreva no espaço apropriado do seu CARTÃO-RESPOSTA,
com sua caligrafia usual, considerando as letras maiúsculas e minúsculas, a seguinte frase:
LEIA ATENTAMENTE AS INSTRUÇÕES SEGUINTES:
1.  Este CADERNO DE QUESTÕES contém 90 questões numeradas de 01 a 90 e a Proposta de Redação, 
dispostas da seguinte maneira: 
a) questões de número 01 a 45, relativas à área de Linguagens, Códigos e suas Tecnologias;
b) Proposta de Redação;
c) questões de número 46 a 90, relativas à área de Ciências Humanas e suas Tecnologias. 
  ATENÇÃO: as questões de 01 a 05 são relativas à língua estrangeira. Você deverá responder apenas 
às questões relativas à língua estrangeira (inglês ou espanhol) escolhida no ato de sua inscrição. 
2.  Confira se a quantidade e a ordem das questões do seu CADERNO DE QUESTÕES estão de acordo 
com as instruções anteriores. Caso o caderno esteja incompleto, tenha defeito ou apresente qualquer 
divergência, comunique ao aplicador da sala para que ele tome as providências cabíveis. 
3.  Para cada uma das questões objetivas, são apresentadas 5 opções. Apenas uma responde 
corretamente à questão. 
4. O tempo disponível para estas provas é de cinco horas e trinta minutos. 
5. Reserve tempo suficiente para preencher o CARTÃO-RESPOSTA e a FOLHA DE REDAÇÃO. 
6.  Os rascunhos e as marcações assinaladas no CADERNO DE QUESTÕES não serão considerados na 
avaliação. 
7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 
8.  Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES 
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO. 
9.  Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e 
poderá levar seu CADERNO DE QUESTÕES ao deixar em definitivo a sala de prova nos 30 minutos 
que antecedem o término das provas. 
EXAME NACIONAL DO ENSINO MÉDIO
PROVA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO
PROVA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS
09
Força e coragem com a natureza.
2 

LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS
Questões de 01 a 45 
Questões de 01 a 05 (opção: inglês)",NA,"Macrocefalia urbana pode ser entendida como a 
massiva concentração das atividades econômicas em 
algumas metrópoles que propicia o desencadeamento 
de processos descompassados: redirecionamento e 
convergência de fluxos migratórios, déficit no número 
de empregos, ocupação desordenada de determinadas 
regiões da cidade e estigmatização de estratos sociais, 
que comprometem substancialmente a segurança pública 
urbana. 
O processo de concentração espacial apresentado foi 
estimulado por qual fator geográfico?","B","B Êxodo da população do campo.",1,NA,NA,NA,NA,"Portuguese","B"
"enem_2022_1mil_ch","enem_2022_1mil_ch_1",140572,"ENEM 2022 - CH","9
LARANJA
1º DIA
ATENÇÃO: transcreva no espaço apropriado do seu CARTÃO-RESPOSTA,
com sua caligrafia usual, considerando as letras maiúsculas e minúsculas, a seguinte frase:
LEIA ATENTAMENTE AS INSTRUÇÕES SEGUINTES:
1.  Este CADERNO DE QUESTÕES contém 90 questões numeradas de 01 a 90 e a Proposta de Redação, 
dispostas da seguinte maneira: 
a) questões de número 01 a 45, relativas à área de Linguagens, Códigos e suas Tecnologias;
b) Proposta de Redação;
c) questões de número 46 a 90, relativas à área de Ciências Humanas e suas Tecnologias. 
  ATENÇÃO: as questões de 01 a 05 são relativas à língua estrangeira. Você deverá responder apenas 
às questões relativas à língua estrangeira (inglês ou espanhol) escolhida no ato de sua inscrição. 
2.  Confira se a quantidade e a ordem das questões do seu CADERNO DE QUESTÕES estão de acordo 
com as instruções anteriores. Caso o caderno esteja incompleto, tenha defeito ou apresente qualquer 
divergência, comunique ao aplicador da sala para que ele tome as providências cabíveis. 
3.  Para cada uma das questões objetivas, são apresentadas 5 opções. Apenas uma responde 
corretamente à questão. 
4. O tempo disponível para estas provas é de cinco horas e trinta minutos. 
5. Reserve tempo suficiente para preencher o CARTÃO-RESPOSTA e a FOLHA DE REDAÇÃO. 
6.  Os rascunhos e as marcações assinaladas no CADERNO DE QUESTÕES não serão considerados na 
avaliação. 
7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 
8.  Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES 
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO. 
9.  Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e 
poderá levar seu CADERNO DE QUESTÕES ao deixar em definitivo a sala de prova nos 30 minutos 
que antecedem o término das provas. 
EXAME NACIONAL DO ENSINO MÉDIO
PROVA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO
PROVA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS
09
Força e coragem com a natureza.
2 

LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS
Questões de 01 a 45 
Questões de 01 a 05 (opção: inglês)",NA,"Macrocefalia urbana pode ser entendida como a 
massiva concentração das atividades econômicas em 
algumas metrópoles que propicia o desencadeamento 
de processos descompassados: redirecionamento e 
convergência de fluxos migratórios, déficit no número 
de empregos, ocupação desordenada de determinadas 
regiões da cidade e estigmatização de estratos sociais, 
que comprometem substancialmente a segurança pública 
urbana. 
O processo de concentração espacial apresentado foi 
estimulado por qual fator geográfico?","B","C Ampliação do risco habitacional.",0,NA,NA,NA,NA,"Portuguese","C"
"enem_2022_1mil_ch","enem_2022_1mil_ch_1",140572,"ENEM 2022 - CH","9
LARANJA
1º DIA
ATENÇÃO: transcreva no espaço apropriado do seu CARTÃO-RESPOSTA,
com sua caligrafia usual, considerando as letras maiúsculas e minúsculas, a seguinte frase:
LEIA ATENTAMENTE AS INSTRUÇÕES SEGUINTES:
1.  Este CADERNO DE QUESTÕES contém 90 questões numeradas de 01 a 90 e a Proposta de Redação, 
dispostas da seguinte maneira: 
a) questões de número 01 a 45, relativas à área de Linguagens, Códigos e suas Tecnologias;
b) Proposta de Redação;
c) questões de número 46 a 90, relativas à área de Ciências Humanas e suas Tecnologias. 
  ATENÇÃO: as questões de 01 a 05 são relativas à língua estrangeira. Você deverá responder apenas 
às questões relativas à língua estrangeira (inglês ou espanhol) escolhida no ato de sua inscrição. 
2.  Confira se a quantidade e a ordem das questões do seu CADERNO DE QUESTÕES estão de acordo 
com as instruções anteriores. Caso o caderno esteja incompleto, tenha defeito ou apresente qualquer 
divergência, comunique ao aplicador da sala para que ele tome as providências cabíveis. 
3.  Para cada uma das questões objetivas, são apresentadas 5 opções. Apenas uma responde 
corretamente à questão. 
4. O tempo disponível para estas provas é de cinco horas e trinta minutos. 
5. Reserve tempo suficiente para preencher o CARTÃO-RESPOSTA e a FOLHA DE REDAÇÃO. 
6.  Os rascunhos e as marcações assinaladas no CADERNO DE QUESTÕES não serão considerados na 
avaliação. 
7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 
8.  Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES 
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO. 
9.  Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e 
poderá levar seu CADERNO DE QUESTÕES ao deixar em definitivo a sala de prova nos 30 minutos 
que antecedem o término das provas. 
EXAME NACIONAL DO ENSINO MÉDIO
PROVA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO
PROVA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS
09
Força e coragem com a natureza.
2 

LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS
Questões de 01 a 45 
Questões de 01 a 05 (opção: inglês)",NA,"Macrocefalia urbana pode ser entendida como a 
massiva concentração das atividades econômicas em 
algumas metrópoles que propicia o desencadeamento 
de processos descompassados: redirecionamento e 
convergência de fluxos migratórios, déficit no número 
de empregos, ocupação desordenada de determinadas 
regiões da cidade e estigmatização de estratos sociais, 
que comprometem substancialmente a segurança pública 
urbana. 
O processo de concentração espacial apresentado foi 
estimulado por qual fator geográfico?","B","D Deficiência do transporte alternativo.",0,NA,NA,NA,NA,"Portuguese","D"
"enem_2022_1mil_ch","enem_2022_1mil_ch_1",140572,"ENEM 2022 - CH","9
LARANJA
1º DIA
ATENÇÃO: transcreva no espaço apropriado do seu CARTÃO-RESPOSTA,
com sua caligrafia usual, considerando as letras maiúsculas e minúsculas, a seguinte frase:
LEIA ATENTAMENTE AS INSTRUÇÕES SEGUINTES:
1.  Este CADERNO DE QUESTÕES contém 90 questões numeradas de 01 a 90 e a Proposta de Redação, 
dispostas da seguinte maneira: 
a) questões de número 01 a 45, relativas à área de Linguagens, Códigos e suas Tecnologias;
b) Proposta de Redação;
c) questões de número 46 a 90, relativas à área de Ciências Humanas e suas Tecnologias. 
  ATENÇÃO: as questões de 01 a 05 são relativas à língua estrangeira. Você deverá responder apenas 
às questões relativas à língua estrangeira (inglês ou espanhol) escolhida no ato de sua inscrição. 
2.  Confira se a quantidade e a ordem das questões do seu CADERNO DE QUESTÕES estão de acordo 
com as instruções anteriores. Caso o caderno esteja incompleto, tenha defeito ou apresente qualquer 
divergência, comunique ao aplicador da sala para que ele tome as providências cabíveis. 
3.  Para cada uma das questões objetivas, são apresentadas 5 opções. Apenas uma responde 
corretamente à questão. 
4. O tempo disponível para estas provas é de cinco horas e trinta minutos. 
5. Reserve tempo suficiente para preencher o CARTÃO-RESPOSTA e a FOLHA DE REDAÇÃO. 
6.  Os rascunhos e as marcações assinaladas no CADERNO DE QUESTÕES não serão considerados na 
avaliação. 
7. Somente serão corrigidas as redações transcritas na FOLHA DE REDAÇÃO. 
8.  Quando terminar as provas, acene para chamar o aplicador e entregue este CADERNO DE QUESTÕES 
e o CARTÃO-RESPOSTA/FOLHA DE REDAÇÃO. 
9.  Você poderá deixar o local de prova somente após decorridas duas horas do início da aplicação e 
poderá levar seu CADERNO DE QUESTÕES ao deixar em definitivo a sala de prova nos 30 minutos 
que antecedem o término das provas. 
EXAME NACIONAL DO ENSINO MÉDIO
PROVA DE LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO
PROVA DE CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS
09
Força e coragem com a natureza.
2 

LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS
Questões de 01 a 45 
Questões de 01 a 05 (opção: inglês)",NA,"Macrocefalia urbana pode ser entendida como a 
massiva concentração das atividades econômicas em 
algumas metrópoles que propicia o desencadeamento 
de processos descompassados: redirecionamento e 
convergência de fluxos migratórios, déficit no número 
de empregos, ocupação desordenada de determinadas 
regiões da cidade e estigmatização de estratos sociais, 
que comprometem substancialmente a segurança pública 
urbana. 
O processo de concentração espacial apresentado foi 
estimulado por qual fator geográfico?","B","E Crescimento da taxa de fecundidade.",0,NA,NA,NA,NA,"Portuguese","E"
