"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"alkouri_2025_coping","alkouri_2025_coping_1","item_01","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To avoid difficulties during clinical practice",NA,"Never",1
"alkouri_2025_coping","alkouri_2025_coping_1","item_01","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To avoid difficulties during clinical practice",NA,"Rarely",2
"alkouri_2025_coping","alkouri_2025_coping_1","item_01","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To avoid difficulties during clinical practice",NA,"Sometimes",3
"alkouri_2025_coping","alkouri_2025_coping_1","item_01","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To avoid difficulties during clinical practice",NA,"Frequently",4
"alkouri_2025_coping","alkouri_2025_coping_1","item_01","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To avoid difficulties during clinical practice",NA,"Always",5
"alkouri_2025_coping","alkouri_2025_coping_1","item_02","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To avoid teachers",NA,"Never",1
"alkouri_2025_coping","alkouri_2025_coping_1","item_02","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To avoid teachers",NA,"Rarely",2
"alkouri_2025_coping","alkouri_2025_coping_1","item_02","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To avoid teachers",NA,"Sometimes",3
"alkouri_2025_coping","alkouri_2025_coping_1","item_02","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To avoid teachers",NA,"Frequently",4
"alkouri_2025_coping","alkouri_2025_coping_1","item_02","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To avoid teachers",NA,"Always",5
"alkouri_2025_coping","alkouri_2025_coping_1","item_03","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To quarrel with others and lose temper",NA,"Never",1
"alkouri_2025_coping","alkouri_2025_coping_1","item_03","Coping Behavior Inventory (CBI) (Sheu et al., 2002)",NA,NA,"To quarrel with others and lose temper",NA,"Rarely",2
