"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"alsuhibani_2022_loc","alsuhibani_2022_loc_1","LOC_01","Multidimensional Locus of Control Scale (Levenson IPC Scale)",NA,NA,"Whether or not I get to be a leader depends mostly on my ability.",NA,"Strongly disagree",1
"alsuhibani_2022_loc","alsuhibani_2022_loc_1","LOC_01","Multidimensional Locus of Control Scale (Levenson IPC Scale)",NA,NA,"Whether or not I get to be a leader depends mostly on my ability.",NA,"Somewhat disagree",2
"alsuhibani_2022_loc","alsuhibani_2022_loc_1","LOC_01","Multidimensional Locus of Control Scale (Levenson IPC Scale)",NA,NA,"Whether or not I get to be a leader depends mostly on my ability.",NA,"Slightly disagree",3
"alsuhibani_2022_loc","alsuhibani_2022_loc_1","LOC_01","Multidimensional Locus of Control Scale (Levenson IPC Scale)",NA,NA,"Whether or not I get to be a leader depends mostly on my ability.",NA,"Slightly agree",4
"alsuhibani_2022_loc","alsuhibani_2022_loc_1","LOC_01","Multidimensional Locus of Control Scale (Levenson IPC Scale)",NA,NA,"Whether or not I get to be a leader depends mostly on my ability.",NA,"Somewhat agree",5
"alsuhibani_2022_loc","alsuhibani_2022_loc_1","LOC_01","Multidimensional Locus of Control Scale (Levenson IPC Scale)",NA,NA,"Whether or not I get to be a leader depends mostly on my ability.",NA,"Strongly agree",6
"alsuhibani_2022_loc","alsuhibani_2022_loc_1","LOC_02","Multidimensional Locus of Control Scale (Levenson IPC Scale)",NA,NA,"To a great extent my life is controlled by accidental happenings.",NA,"Strongly disagree",1
"alsuhibani_2022_loc","alsuhibani_2022_loc_1","LOC_02","Multidimensional Locus of Control Scale (Levenson IPC Scale)",NA,NA,"To a great extent my life is controlled by accidental happenings.",NA,"Somewhat disagree",2
"alsuhibani_2022_loc","alsuhibani_2022_loc_1","LOC_02","Multidimensional Locus of Control Scale (Levenson IPC Scale)",NA,NA,"To a great extent my life is controlled by accidental happenings.",NA,"Slightly disagree",3
"alsuhibani_2022_loc","alsuhibani_2022_loc_1","LOC_02","Multidimensional Locus of Control Scale (Levenson IPC Scale)",NA,NA,"To a great extent my life is controlled by accidental happenings.",NA,"Slightly agree",4
