"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_1","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"W swojej pracy mam poczucie wolności i swobody wyboru w tym, co robię.",NA,"Strongly disagree",1
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_1","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"W swojej pracy mam poczucie wolności i swobody wyboru w tym, co robię.",NA,NA,2
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_1","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"W swojej pracy mam poczucie wolności i swobody wyboru w tym, co robię.",NA,NA,3
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_1","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"W swojej pracy mam poczucie wolności i swobody wyboru w tym, co robię.",NA,"Neutral",4
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_1","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"W swojej pracy mam poczucie wolności i swobody wyboru w tym, co robię.",NA,NA,5
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_1","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"W swojej pracy mam poczucie wolności i swobody wyboru w tym, co robię.",NA,NA,6
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_1","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"W swojej pracy mam poczucie wolności i swobody wyboru w tym, co robię.",NA,"Strongly agree",7
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_2","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się wykluczony/a z grupy, do której chcę należeć w pracy.",NA,"Strongly disagree",1
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_2","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się wykluczony/a z grupy, do której chcę należeć w pracy.",NA,NA,2
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_2","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się wykluczony/a z grupy, do której chcę należeć w pracy.",NA,NA,3
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_2","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się wykluczony/a z grupy, do której chcę należeć w pracy.",NA,"Neutral",4
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_2","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się wykluczony/a z grupy, do której chcę należeć w pracy.",NA,NA,5
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_2","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się wykluczony/a z grupy, do której chcę należeć w pracy.",NA,NA,6
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_2","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się wykluczony/a z grupy, do której chcę należeć w pracy.",NA,"Strongly agree",7
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_3","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się pewny/ a, że potrafię wykonywać swoją pracę dobrze.",NA,"Strongly disagree",1
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_3","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się pewny/ a, że potrafię wykonywać swoją pracę dobrze.",NA,NA,2
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_3","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się pewny/ a, że potrafię wykonywać swoją pracę dobrze.",NA,NA,3
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_3","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się pewny/ a, że potrafię wykonywać swoją pracę dobrze.",NA,"Neutral",4
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_3","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się pewny/ a, że potrafię wykonywać swoją pracę dobrze.",NA,NA,5
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_3","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się pewny/ a, że potrafię wykonywać swoją pracę dobrze.",NA,NA,6
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_3","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Czuję się pewny/ a, że potrafię wykonywać swoją pracę dobrze.",NA,"Strongly agree",7
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_4","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Mam poczucie, że ludzie, o których się troszczę w pracy, troszczą się również o mnie.",NA,"Strongly disagree",1
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_4","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Mam poczucie, że ludzie, o których się troszczę w pracy, troszczą się również o mnie.",NA,NA,2
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_4","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Mam poczucie, że ludzie, o których się troszczę w pracy, troszczą się również o mnie.",NA,NA,3
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_4","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Mam poczucie, że ludzie, o których się troszczę w pracy, troszczą się również o mnie.",NA,"Neutral",4
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_4","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Mam poczucie, że ludzie, o których się troszczę w pracy, troszczą się również o mnie.",NA,NA,5
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_4","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Mam poczucie, że ludzie, o których się troszczę w pracy, troszczą się również o mnie.",NA,NA,6
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_4","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Mam poczucie, że ludzie, o których się troszczę w pracy, troszczą się również o mnie.",NA,"Strongly agree",7
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_5","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Większości rzeczy, które robię w pracy towarzyszy uczucie “Ja muszę”.",NA,"Strongly disagree",1
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_5","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Większości rzeczy, które robię w pracy towarzyszy uczucie “Ja muszę”.",NA,NA,2
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_5","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Większości rzeczy, które robię w pracy towarzyszy uczucie “Ja muszę”.",NA,NA,3
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_5","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Większości rzeczy, które robię w pracy towarzyszy uczucie “Ja muszę”.",NA,"Neutral",4
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_5","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Większości rzeczy, które robię w pracy towarzyszy uczucie “Ja muszę”.",NA,NA,5
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_5","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Większości rzeczy, które robię w pracy towarzyszy uczucie “Ja muszę”.",NA,NA,6
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_5","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Większości rzeczy, które robię w pracy towarzyszy uczucie “Ja muszę”.",NA,"Strongly agree",7
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_6","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Gdy jestem w pracy, mam poważne wątpliwości czy potrafię robić dobrze to, czym się zajmuję.",NA,"Strongly disagree",1
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_6","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Gdy jestem w pracy, mam poważne wątpliwości czy potrafię robić dobrze to, czym się zajmuję.",NA,NA,2
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_6","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Gdy jestem w pracy, mam poważne wątpliwości czy potrafię robić dobrze to, czym się zajmuję.",NA,NA,3
"baka2023_bpnsf","baka2023_bpnsf_1","BPNSF_6","Skala Zaspokojenia i Frustracji Podstawowych Potrzeb Psychologicznych w Pracy (Basic Psychological Need Satisfaction and Frustration Scale at Work, BPNSF-W), Polish version",NA,NA,"Gdy jestem w pracy, mam poważne wątpliwości czy potrafię robić dobrze to, czym się zajmuję.",NA,"Neutral",4
