"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA1","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I often spend more time on the Web than I had intended",NA,"Strongly Disagree",1
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA1","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I often spend more time on the Web than I had intended",NA,"Disagree",2
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA1","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I often spend more time on the Web than I had intended",NA,"Somewhat Disagree",3
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA1","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I often spend more time on the Web than I had intended",NA,"Neither Agree nor Disagree",4
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA1","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I often spend more time on the Web than I had intended",NA,"Somewhat Agree",5
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA1","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I often spend more time on the Web than I had intended",NA,"Agree",6
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA1","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I often spend more time on the Web than I had intended",NA,"Strongly Agree",7
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA2","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"While on the Web, I am immersed in the task I am performing.",NA,"Strongly Disagree",1
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA2","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"While on the Web, I am immersed in the task I am performing.",NA,"Disagree",2
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA2","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"While on the Web, I am immersed in the task I am performing.",NA,"Somewhat Disagree",3
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA2","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"While on the Web, I am immersed in the task I am performing.",NA,"Neither Agree nor Disagree",4
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA2","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"While on the Web, I am immersed in the task I am performing.",NA,"Somewhat Agree",5
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA2","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"While on the Web, I am immersed in the task I am performing.",NA,"Agree",6
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA2","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"While on the Web, I am immersed in the task I am performing.",NA,"Strongly Agree",7
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA4","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"The Web allows me to control my computer interaction.",NA,"Strongly Disagree",1
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA4","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"The Web allows me to control my computer interaction.",NA,"Disagree",2
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA4","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"The Web allows me to control my computer interaction.",NA,"Somewhat Disagree",3
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA4","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"The Web allows me to control my computer interaction.",NA,"Neither Agree nor Disagree",4
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA4","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"The Web allows me to control my computer interaction.",NA,"Somewhat Agree",5
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA4","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"The Web allows me to control my computer interaction.",NA,"Agree",6
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA4","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"The Web allows me to control my computer interaction.",NA,"Strongly Agree",7
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA6","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I like to experiment with new information technologies.",NA,"Strongly Disagree",1
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA6","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I like to experiment with new information technologies.",NA,"Disagree",2
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA6","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I like to experiment with new information technologies.",NA,"Somewhat Disagree",3
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA6","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I like to experiment with new information technologies.",NA,"Neither Agree nor Disagree",4
"butt_2022_cognitive_absorption","butt_2022_cognitive_absorption_1","CA6","Cognitive Absorption scale (Butt et al. 2022 online learning questionnaire)","Record your responses on a scale given below:",NA,"I like to experiment with new information technologies.",NA,"Somewhat Agree",5
