"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q14","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"The genome consists of all the genes in an organism that code for the production of proteins.","1;2","Strongly disagree",1,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q14","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"The genome consists of all the genes in an organism that code for the production of proteins.","1;2","Disagree",2,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q14","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"The genome consists of all the genes in an organism that code for the production of proteins.","1;2","Agree",3,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q14","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"The genome consists of all the genes in an organism that code for the production of proteins.","1;2","Strongly agree",4,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q15","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Cells, tissues and organs differ because they have different sets of genes that are activated (“turned on”) and deactivated (“turned off”).","3;4","Strongly disagree",1,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q15","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Cells, tissues and organs differ because they have different sets of genes that are activated (“turned on”) and deactivated (“turned off”).","3;4","Disagree",2,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q15","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Cells, tissues and organs differ because they have different sets of genes that are activated (“turned on”) and deactivated (“turned off”).","3;4","Agree",3,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q15","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Cells, tissues and organs differ because they have different sets of genes that are activated (“turned on”) and deactivated (“turned off”).","3;4","Strongly agree",4,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q16","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Environmental factors, such as cigarette smoke, has no effect on gene activity.","1;2","Strongly disagree",1,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q16","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Environmental factors, such as cigarette smoke, has no effect on gene activity.","1;2","Disagree",2,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q16","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Environmental factors, such as cigarette smoke, has no effect on gene activity.","1;2","Agree",3,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q16","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Environmental factors, such as cigarette smoke, has no effect on gene activity.","1;2","Strongly agree",4,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q17","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"The human genome contains more genes than the genome of any other living being.","1;2","Strongly disagree",1,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q17","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"The human genome contains more genes than the genome of any other living being.","1;2","Disagree",2,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q17","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"The human genome contains more genes than the genome of any other living being.","1;2","Agree",3,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q17","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"The human genome contains more genes than the genome of any other living being.","1;2","Strongly agree",4,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q18","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Every cell of the body contains the whole genome.","3;4","Strongly disagree",1,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q18","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Every cell of the body contains the whole genome.","3;4","Disagree",2,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q18","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Every cell of the body contains the whole genome.","3;4","Agree",3,NA,NA,NA,NA
"carver_2017_puggs_pilot1_genom_know","carver_2017_puggs_pilot1_genom_know_1","Q18","Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, initial version used in the first pilot study — Section 3: Principles of genomics","Portuguese","On a scale from strongly disagree to strongly agree, to what extent do you agree with the following statements? (NB: Please only chose “don’t know” if you do not understand the statement)",NA,"Every cell of the body contains the whole genome.","3;4","Strongly agree",4,NA,NA,NA,NA
