table,section_id,item,instrument,language,instructions,section_prompt,item_text,correct_response,option_text,resp,instructions_translated,section_prompt_translated,item_text_translated,option_text_translated
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q10,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,The genome consists only of the genes in an organism that code for the production of proteins.,False,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q10,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,The genome consists only of the genes in an organism that code for the production of proteins.,False,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q11,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,"Cells, tissues and organs differ because they have different sets of genes that are activated (“turned on”) and deactivated (“turned off”).",True,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q11,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,"Cells, tissues and organs differ because they have different sets of genes that are activated (“turned on”) and deactivated (“turned off”).",True,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q12,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,"Environmental factors, such as cigarette smoke, can affect gene activity.",True,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q12,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,"Environmental factors, such as cigarette smoke, can affect gene activity.",True,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q13,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,The human genome contains more genes than the genome of any other living being.,False,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q13,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,The human genome contains more genes than the genome of any other living being.,False,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q14,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Every cell of the body contains the whole genome.,True,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q14,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Every cell of the body contains the whole genome.,True,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q15,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,When someone says something is “epigenetic” it means that you can inherit changes in gene activity without inheriting changes in the genes.,True,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q15,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,When someone says something is “epigenetic” it means that you can inherit changes in gene activity without inheriting changes in the genes.,True,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q16,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Only a small proportion of the human genome consists of genes that code for proteins.,True,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q16,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Only a small proportion of the human genome consists of genes that code for proteins.,True,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q17,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Epigenetic changes are influenced by environmental factors.,True,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q17,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Epigenetic changes are influenced by environmental factors.,True,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q18,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,When someone talks of an epigenetic change he or she is referring to a large change in the DNA sequence.,False,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q18,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,When someone talks of an epigenetic change he or she is referring to a large change in the DNA sequence.,False,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q19,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Epigenetic changes are caused by mutations.,False,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q19,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Epigenetic changes are caused by mutations.,False,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q20,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Most of the human genome consists of genes that code for proteins.,False,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q20,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Most of the human genome consists of genes that code for proteins.,False,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q21,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,The human genome has fewer genes than some less complex organisms such as tomato plants and rice.,True,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q21,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,The human genome has fewer genes than some less complex organisms such as tomato plants and rice.,True,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q22,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,"When someone says something is “epigenetic”, it means that environmental factors can change part of the DNA sequence",False,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q22,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,"When someone says something is “epigenetic”, it means that environmental factors can change part of the DNA sequence",False,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q23,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Genes can be activated or deactivated by other genes.,True,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q23,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Genes can be activated or deactivated by other genes.,True,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q24,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Only eye cells have genetic information for eye colour.,False,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q24,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,Only eye cells have genetic information for eye colour.,False,,1,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q25,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,"If a cell lacks a certain substance, such as a vitamin, a gene can be deactivated.",True,,0,,,,
carver_2017_puggs_pilot2_genom_know,carver_2017_puggs_pilot2_genom_know_1,Q25,"Public Understanding and Attitudes towards Genetics and Genomics (PUGGS) questionnaire, Section 4: Knowledge about modern genetics and genomics (second pilot / final version)",Portuguese,"Please read each statement below and tick one box (True, False or Don´t know). N.B. Please only chose “don’t know” if you do not understand the statement",,"If a cell lacks a certain substance, such as a vitamin, a gene can be deactivated.",True,,1,,,,
