"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone will help me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person who is around when I am in need.",NA,"Very Strongly Disagree",1
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone will help me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person who is around when I am in need.",NA,"Strongly Disagree",2
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone will help me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person who is around when I am in need.",NA,"Mildly Disagree",3
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone will help me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person who is around when I am in need.",NA,"Neutral",4
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone will help me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person who is around when I am in need.",NA,"Mildly Agree",5
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone will help me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person who is around when I am in need.",NA,"Strongly Agree",6
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone will help me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person who is around when I am in need.",NA,"Very Strongly Agree",7
"chen2022b_socsupport","chen2022b_socsupport_1","I can share my happiness and sorrows with someone","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person with whom I can share my joys and sorrows.",NA,"Very Strongly Disagree",1
"chen2022b_socsupport","chen2022b_socsupport_1","I can share my happiness and sorrows with someone","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person with whom I can share my joys and sorrows.",NA,"Strongly Disagree",2
"chen2022b_socsupport","chen2022b_socsupport_1","I can share my happiness and sorrows with someone","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person with whom I can share my joys and sorrows.",NA,"Mildly Disagree",3
"chen2022b_socsupport","chen2022b_socsupport_1","I can share my happiness and sorrows with someone","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person with whom I can share my joys and sorrows.",NA,"Neutral",4
"chen2022b_socsupport","chen2022b_socsupport_1","I can share my happiness and sorrows with someone","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person with whom I can share my joys and sorrows.",NA,"Mildly Agree",5
"chen2022b_socsupport","chen2022b_socsupport_1","I can share my happiness and sorrows with someone","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person with whom I can share my joys and sorrows.",NA,"Strongly Agree",6
"chen2022b_socsupport","chen2022b_socsupport_1","I can share my happiness and sorrows with someone","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"There is a special person with whom I can share my joys and sorrows.",NA,"Very Strongly Agree",7
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me supports","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"My family really tries to help me.",NA,"Very Strongly Disagree",1
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me supports","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"My family really tries to help me.",NA,"Strongly Disagree",2
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me supports","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"My family really tries to help me.",NA,"Mildly Disagree",3
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me supports","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"My family really tries to help me.",NA,"Neutral",4
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me supports","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"My family really tries to help me.",NA,"Mildly Agree",5
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me supports","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"My family really tries to help me.",NA,"Strongly Agree",6
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me supports","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"My family really tries to help me.",NA,"Very Strongly Agree",7
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me suport when I needed","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I get the emotional help and support I need from my family.",NA,"Very Strongly Disagree",1
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me suport when I needed","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I get the emotional help and support I need from my family.",NA,"Strongly Disagree",2
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me suport when I needed","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I get the emotional help and support I need from my family.",NA,"Mildly Disagree",3
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me suport when I needed","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I get the emotional help and support I need from my family.",NA,"Neutral",4
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me suport when I needed","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I get the emotional help and support I need from my family.",NA,"Mildly Agree",5
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me suport when I needed","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I get the emotional help and support I need from my family.",NA,"Strongly Agree",6
"chen2022b_socsupport","chen2022b_socsupport_1","my family can give me suport when I needed","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I get the emotional help and support I need from my family.",NA,"Very Strongly Agree",7
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone can consolo me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I have a special person who is a real source of comfort to me.",NA,"Very Strongly Disagree",1
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone can consolo me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I have a special person who is a real source of comfort to me.",NA,"Strongly Disagree",2
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone can consolo me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I have a special person who is a real source of comfort to me.",NA,"Mildly Disagree",3
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone can consolo me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I have a special person who is a real source of comfort to me.",NA,"Neutral",4
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone can consolo me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I have a special person who is a real source of comfort to me.",NA,"Mildly Agree",5
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone can consolo me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I have a special person who is a real source of comfort to me.",NA,"Strongly Agree",6
"chen2022b_socsupport","chen2022b_socsupport_1","when I have problems, someone can consolo me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"I have a special person who is a real source of comfort to me.",NA,"Very Strongly Agree",7
"chen2022b_socsupport","chen2022b_socsupport_1","my friends can really help me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"My friends really try to help me.",NA,"Very Strongly Disagree",1
"chen2022b_socsupport","chen2022b_socsupport_1","my friends can really help me","Multidimensional Scale of Perceived Social Support (MSPSS)","Chinese","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.",NA,"My friends really try to help me.",NA,"Strongly Disagree",2
