"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"conner_2017_bfi","conner_2017_bfi_1","bfi1","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is talkative",NA,"Strongly disagree",1
"conner_2017_bfi","conner_2017_bfi_1","bfi1","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is talkative",NA,"Disagree",2
"conner_2017_bfi","conner_2017_bfi_1","bfi1","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is talkative",NA,"Neutral",3
"conner_2017_bfi","conner_2017_bfi_1","bfi1","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is talkative",NA,"Agree",4
"conner_2017_bfi","conner_2017_bfi_1","bfi1","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is talkative",NA,"Strongly Agree",5
"conner_2017_bfi","conner_2017_bfi_1","bfi2","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Tends to find fault with others",NA,"Strongly Agree",1
"conner_2017_bfi","conner_2017_bfi_1","bfi2","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Tends to find fault with others",NA,"Agree",2
"conner_2017_bfi","conner_2017_bfi_1","bfi2","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Tends to find fault with others",NA,"Neutral",3
"conner_2017_bfi","conner_2017_bfi_1","bfi2","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Tends to find fault with others",NA,"Disagree",4
"conner_2017_bfi","conner_2017_bfi_1","bfi2","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Tends to find fault with others",NA,"Strongly disagree",5
"conner_2017_bfi","conner_2017_bfi_1","bfi3","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Does a thorough job",NA,"Strongly disagree",1
"conner_2017_bfi","conner_2017_bfi_1","bfi3","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Does a thorough job",NA,"Disagree",2
"conner_2017_bfi","conner_2017_bfi_1","bfi3","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Does a thorough job",NA,"Neutral",3
"conner_2017_bfi","conner_2017_bfi_1","bfi3","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Does a thorough job",NA,"Agree",4
"conner_2017_bfi","conner_2017_bfi_1","bfi3","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Does a thorough job",NA,"Strongly Agree",5
"conner_2017_bfi","conner_2017_bfi_1","bfi4","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is depressed, blue",NA,"Strongly disagree",1
"conner_2017_bfi","conner_2017_bfi_1","bfi4","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is depressed, blue",NA,"Disagree",2
"conner_2017_bfi","conner_2017_bfi_1","bfi4","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is depressed, blue",NA,"Neutral",3
"conner_2017_bfi","conner_2017_bfi_1","bfi4","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is depressed, blue",NA,"Agree",4
"conner_2017_bfi","conner_2017_bfi_1","bfi4","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is depressed, blue",NA,"Strongly Agree",5
"conner_2017_bfi","conner_2017_bfi_1","bfi5","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is original, comes up with new ideas",NA,"Strongly disagree",1
"conner_2017_bfi","conner_2017_bfi_1","bfi5","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is original, comes up with new ideas",NA,"Disagree",2
"conner_2017_bfi","conner_2017_bfi_1","bfi5","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is original, comes up with new ideas",NA,"Neutral",3
"conner_2017_bfi","conner_2017_bfi_1","bfi5","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is original, comes up with new ideas",NA,"Agree",4
"conner_2017_bfi","conner_2017_bfi_1","bfi5","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is original, comes up with new ideas",NA,"Strongly Agree",5
"conner_2017_bfi","conner_2017_bfi_1","bfi6","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is reserved",NA,"Strongly Agree",1
"conner_2017_bfi","conner_2017_bfi_1","bfi6","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is reserved",NA,"Agree",2
"conner_2017_bfi","conner_2017_bfi_1","bfi6","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is reserved",NA,"Neutral",3
"conner_2017_bfi","conner_2017_bfi_1","bfi6","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is reserved",NA,"Disagree",4
"conner_2017_bfi","conner_2017_bfi_1","bfi6","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is reserved",NA,"Strongly disagree",5
"conner_2017_bfi","conner_2017_bfi_1","bfi7","Big Five Inventory (BFI-44)","I see myself as Someone who...",NA,"Is helpful and unselfish with others",NA,"Strongly disagree",1
