"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Night","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Noturno","During nocturnal bedrest",NA,"Não","None",0
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Night","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Noturno","During nocturnal bedrest",NA,"Aos movimentos ou em determinada postura","Only on movement or in certain positions",1
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Night","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Noturno","During nocturnal bedrest",NA,"Imóvel","Without movement",2
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Morning","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Aos primeiros movimentos matinais","Duration of morning stiffness or pain after getting up",NA,"Menos de 1 minuto","None",0
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Morning","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Aos primeiros movimentos matinais","Duration of morning stiffness or pain after getting up",NA,"Entre 1 e 15 minutos","< 15 minutes",1
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Morning","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Aos primeiros movimentos matinais","Duration of morning stiffness or pain after getting up",NA,"Mais de 15 minutos",">= 15 minutes",2
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Standing","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Ao permanecer em pé ou nas pontas dos pés por meia hora","Remaining standing for 30 minutes increases pain",NA,"Não","No",0
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Standing","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Ao permanecer em pé ou nas pontas dos pés por meia hora","Remaining standing for 30 minutes increases pain",NA,"Sim","Yes",1
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Walking","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Ao caminhar","Pain on walking",NA,"Não","No",0
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Walking","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Ao caminhar","Pain on walking",NA,"Somente após certa distância","Only after walking some distance",1
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Walking","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Ao caminhar","Pain on walking",NA,"Muito rapidamente e de modo progressivo","Early after starting",2
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Going up","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Ao subir um andar sem ajuda dos braços","Can you go up a standard flight of stairs?",NA,"Não","No",0
"dejesus_2017_lequesne","dejesus_2017_lequesne_pain","Leq. Going up","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,"Dor ou incômodo","Pain or discomfort","Ao subir um andar sem ajuda dos braços","Can you go up a standard flight of stairs?",NA,"Sim","Yes",1
"dejesus_2017_lequesne","dejesus_2017_lequesne_distance","Leq. Dist.","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,NA,NA,"Distância máxima da marcha","Maximum distance walked",NA,"Nenhuma limitação","Unlimited",0
"dejesus_2017_lequesne","dejesus_2017_lequesne_distance","Leq. Dist.","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,NA,NA,"Distância máxima da marcha","Maximum distance walked",NA,"Limitado, mas superior a 1 hora","> 1 kilometer but limited",1
"dejesus_2017_lequesne","dejesus_2017_lequesne_distance","Leq. Dist.","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,NA,NA,"Distância máxima da marcha","Maximum distance walked",NA,"Aproximadamente 1 km (aproximadamente 15 minutos)","About 1 kilometer (about 15 minutes)",2
"dejesus_2017_lequesne","dejesus_2017_lequesne_distance","Leq. Dist.","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,NA,NA,"Distância máxima da marcha","Maximum distance walked",NA,"500 a 900 m (aproximadamente 8 a 15 minutos)","500 - 900 m (about 8 a 15 minutes)",3
"dejesus_2017_lequesne","dejesus_2017_lequesne_distance","Leq. Dist.","Lequesne Functional Index (Índice Funcional de Lequesne)","Portuguese",NA,NA,NA,NA,"Distância máxima da marcha","Maximum distance walked",NA,"300 a 500 m","300 - 500 m",4
