"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","wording_rights","resp"
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_1","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to develop my capabilities",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_1","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to develop my capabilities",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_1","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to develop my capabilities",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_1","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to develop my capabilities",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_1","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to develop my capabilities",NA,NA,"Very often",NA,"NC",5
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_2","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to develop myself professionally",NA,NA,"Never",NA,"NC",1
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_2","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to develop myself professionally",NA,NA,"Almost never",NA,"NC",2
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_2","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to develop myself professionally",NA,NA,"Sometimes",NA,"NC",3
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_2","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to develop myself professionally",NA,NA,"Often",NA,"NC",4
"dominguez_2018_jcs","dominguez_2018_jcs_1","item_2","Job Crafting Scale (DJCS), Spanish version","Spanish",NA,NA,NA,NA,"I try to develop myself professionally",NA,NA,"Very often",NA,"NC",5
