"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","close","Pro-Vaccination Social Norms Scale",NA,NA,"Of the people close to you, what proportion of them would want you to get the COVID-19 vaccine?",NA,"A few (1-20%)",1
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","close","Pro-Vaccination Social Norms Scale",NA,NA,"Of the people close to you, what proportion of them would want you to get the COVID-19 vaccine?",NA,"Some (21-40%)",2
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","close","Pro-Vaccination Social Norms Scale",NA,NA,"Of the people close to you, what proportion of them would want you to get the COVID-19 vaccine?",NA,"Many (41-60%)",3
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","close","Pro-Vaccination Social Norms Scale",NA,NA,"Of the people close to you, what proportion of them would want you to get the COVID-19 vaccine?",NA,"Most (61-80%)",4
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","close","Pro-Vaccination Social Norms Scale",NA,NA,"Of the people close to you, what proportion of them would want you to get the COVID-19 vaccine?",NA,"Nearly all or all (81-100%)",5
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","family","Pro-Vaccination Social Norms Scale",NA,NA,"Your family members think it is important for everyone to get a COVID-19 vaccine.",NA,"Strongly disagree",1
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","family","Pro-Vaccination Social Norms Scale",NA,NA,"Your family members think it is important for everyone to get a COVID-19 vaccine.",NA,"Disagree",2
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","family","Pro-Vaccination Social Norms Scale",NA,NA,"Your family members think it is important for everyone to get a COVID-19 vaccine.",NA,"Neither agree nor disagree",3
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","family","Pro-Vaccination Social Norms Scale",NA,NA,"Your family members think it is important for everyone to get a COVID-19 vaccine.",NA,"Agree",4
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","family","Pro-Vaccination Social Norms Scale",NA,NA,"Your family members think it is important for everyone to get a COVID-19 vaccine.",NA,"Strongly agree",5
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","friends","Pro-Vaccination Social Norms Scale",NA,NA,"Your friends think it is important for everyone to get a COVID-19 vaccine.",NA,"Strongly disagree",1
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","friends","Pro-Vaccination Social Norms Scale",NA,NA,"Your friends think it is important for everyone to get a COVID-19 vaccine.",NA,"Disagree",2
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","friends","Pro-Vaccination Social Norms Scale",NA,NA,"Your friends think it is important for everyone to get a COVID-19 vaccine.",NA,"Neither agree nor disagree",3
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","friends","Pro-Vaccination Social Norms Scale",NA,NA,"Your friends think it is important for everyone to get a COVID-19 vaccine.",NA,"Agree",4
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","friends","Pro-Vaccination Social Norms Scale",NA,NA,"Your friends think it is important for everyone to get a COVID-19 vaccine.",NA,"Strongly agree",5
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","healthc","Pro-Vaccination Social Norms Scale",NA,NA,"How many people who work in health care in Nigeria do you think will get the COVID-19 vaccine when it becomes available?",NA,"A few (1-20%)",1
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","healthc","Pro-Vaccination Social Norms Scale",NA,NA,"How many people who work in health care in Nigeria do you think will get the COVID-19 vaccine when it becomes available?",NA,"Some (21-40%)",2
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","healthc","Pro-Vaccination Social Norms Scale",NA,NA,"How many people who work in health care in Nigeria do you think will get the COVID-19 vaccine when it becomes available?",NA,"Many (41-60%)",3
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","healthc","Pro-Vaccination Social Norms Scale",NA,NA,"How many people who work in health care in Nigeria do you think will get the COVID-19 vaccine when it becomes available?",NA,"Most (61-80%)",4
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","healthc","Pro-Vaccination Social Norms Scale",NA,NA,"How many people who work in health care in Nigeria do you think will get the COVID-19 vaccine when it becomes available?",NA,"Nearly all or all (81-100%)",5
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","nigerian","Pro-Vaccination Social Norms Scale",NA,NA,"How many people in Nigeria do you think will get the COVID-19 vaccine when it becomes available?",NA,"A few (1-20%)",1
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","nigerian","Pro-Vaccination Social Norms Scale",NA,NA,"How many people in Nigeria do you think will get the COVID-19 vaccine when it becomes available?",NA,"Some (21-40%)",2
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","nigerian","Pro-Vaccination Social Norms Scale",NA,NA,"How many people in Nigeria do you think will get the COVID-19 vaccine when it becomes available?",NA,"Many (41-60%)",3
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","nigerian","Pro-Vaccination Social Norms Scale",NA,NA,"How many people in Nigeria do you think will get the COVID-19 vaccine when it becomes available?",NA,"Most (61-80%)",4
"evans_2023_vaccination_norms","evans_2023_vaccination_norms_1","nigerian","Pro-Vaccination Social Norms Scale",NA,NA,"How many people in Nigeria do you think will get the COVID-19 vaccine when it becomes available?",NA,"Nearly all or all (81-100%)",5
