"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_1","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"Self-sufficiency in pork in Germany is below 100%.",NA,"50% (da muss ich raten)",1,NA,NA,NA,"50% (= I have to guess)"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_1","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"Self-sufficiency in pork in Germany is below 100%.",NA,"60%",2,NA,NA,NA,"60%"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_1","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"Self-sufficiency in pork in Germany is below 100%.",NA,"70%",3,NA,NA,NA,"70%"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_1","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"Self-sufficiency in pork in Germany is below 100%.",NA,"80%",4,NA,NA,NA,"80%"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_1","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"Self-sufficiency in pork in Germany is below 100%.",NA,"90%",5,NA,NA,NA,"90%"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_1","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"Self-sufficiency in pork in Germany is below 100%.",NA,"100 % (das weiß ich sicher)",6,NA,NA,NA,"100% (= I know that for a fact)"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_2","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"In agriculture in Germany, grain cultivation is of the greatest importance.",NA,"50% (da muss ich raten)",1,NA,NA,NA,"50% (= I have to guess)"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_2","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"In agriculture in Germany, grain cultivation is of the greatest importance.",NA,"60%",2,NA,NA,NA,"60%"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_2","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"In agriculture in Germany, grain cultivation is of the greatest importance.",NA,"70%",3,NA,NA,NA,"70%"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_2","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"In agriculture in Germany, grain cultivation is of the greatest importance.",NA,"80%",4,NA,NA,NA,"80%"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_2","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"In agriculture in Germany, grain cultivation is of the greatest importance.",NA,"90%",5,NA,NA,NA,"90%"
"gabriel_2026_knowledge_confidence","gabriel_2026_knowledge_confidence_1","conf_2","Agricultural knowledge statements: confidence in judgement (six-point subjective probability scale)","German","For the following nine statements, indicate whether they are correct or incorrect (left-hand side). Also, indicate how convinced you are of your judgement (right-hand side)",NA,"In agriculture in Germany, grain cultivation is of the greatest importance.",NA,"100 % (das weiß ich sicher)",6,NA,NA,NA,"100% (= I know that for a fact)"
