"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_1","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often do you feel tired?",NA,"Never/almost never",0
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_1","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often do you feel tired?",NA,"Seldom",1
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_1","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often do you feel tired?",NA,"Sometimes",2
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_1","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often do you feel tired?",NA,"Often",3
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_1","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often do you feel tired?",NA,"Always",4
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_2","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"Do you feel worn out at the end of the school/work day?",NA,"Never/almost never",0
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_2","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"Do you feel worn out at the end of the school/work day?",NA,"Seldom",1
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_2","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"Do you feel worn out at the end of the school/work day?",NA,"Sometimes",2
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_2","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"Do you feel worn out at the end of the school/work day?",NA,"Often",3
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_2","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"Do you feel worn out at the end of the school/work day?",NA,"Always",4
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_3","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often are you physically exhausted?",NA,"Never/almost never",0
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_3","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often are you physically exhausted?",NA,"Seldom",1
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_3","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often are you physically exhausted?",NA,"Sometimes",2
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_3","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often are you physically exhausted?",NA,"Often",3
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_3","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often are you physically exhausted?",NA,"Always",4
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_4","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often are you emotionally exhausted?",NA,"Never/almost never",0
"jordan_2020_burnout","jordan_2020_burnout_1","Q12_4","Copenhagen Burnout Inventory (personal burnout items and four work-related burnout items, school/work adaptation)","Please answer the following questions.",NA,"How often are you emotionally exhausted?",NA,"Seldom",1
