"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS1","Brief COPE (Carver, 1997)",NA,NA,"I have been turning to work or other activities to take my mind off things.",NA,"I haven't been doing this at all",1
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS1","Brief COPE (Carver, 1997)",NA,NA,"I have been turning to work or other activities to take my mind off things.",NA,"A little bit",2
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS1","Brief COPE (Carver, 1997)",NA,NA,"I have been turning to work or other activities to take my mind off things.",NA,"A medium amount",3
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS1","Brief COPE (Carver, 1997)",NA,NA,"I have been turning to work or other activities to take my mind off things.",NA,"I've been doing this alot",4
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS2","Brief COPE (Carver, 1997)",NA,NA,"I've been concerntrating my efforts on doing something about the situation I'm in.",NA,"I haven't been doing this at all",1
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS2","Brief COPE (Carver, 1997)",NA,NA,"I've been concerntrating my efforts on doing something about the situation I'm in.",NA,"A little bit",2
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS2","Brief COPE (Carver, 1997)",NA,NA,"I've been concerntrating my efforts on doing something about the situation I'm in.",NA,"A medium amount",3
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS2","Brief COPE (Carver, 1997)",NA,NA,"I've been concerntrating my efforts on doing something about the situation I'm in.",NA,"I've been doing this alot",4
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS3","Brief COPE (Carver, 1997)",NA,NA,"I've been saying to myself, ""this isn't real"".",NA,"I haven't been doing this at all",1
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS3","Brief COPE (Carver, 1997)",NA,NA,"I've been saying to myself, ""this isn't real"".",NA,"A little bit",2
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS3","Brief COPE (Carver, 1997)",NA,NA,"I've been saying to myself, ""this isn't real"".",NA,"A medium amount",3
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS3","Brief COPE (Carver, 1997)",NA,NA,"I've been saying to myself, ""this isn't real"".",NA,"I've been doing this alot",4
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS4","Brief COPE (Carver, 1997)",NA,NA,"I've been using alcohol or other drugs to make myself feel better.",NA,"I haven't been doing this at all",1
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS4","Brief COPE (Carver, 1997)",NA,NA,"I've been using alcohol or other drugs to make myself feel better.",NA,"A little bit",2
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS4","Brief COPE (Carver, 1997)",NA,NA,"I've been using alcohol or other drugs to make myself feel better.",NA,"A medium amount",3
"koirala_2024_brief_cope","koirala_2024_brief_cope_1","BCS4","Brief COPE (Carver, 1997)",NA,NA,"I've been using alcohol or other drugs to make myself feel better.",NA,"I've been doing this alot",4
