"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"promis1wave1_haq","promis1wave1_haq_1","HAQ1a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to dress yourself including tying shoelaces & doing buttons?",NA,"Without any difficulty",0
"promis1wave1_haq","promis1wave1_haq_1","HAQ1a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to dress yourself including tying shoelaces & doing buttons?",NA,"With some difficulty",1
"promis1wave1_haq","promis1wave1_haq_1","HAQ1a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to dress yourself including tying shoelaces & doing buttons?",NA,"With much difficulty",2
"promis1wave1_haq","promis1wave1_haq_1","HAQ1a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to dress yourself including tying shoelaces & doing buttons?",NA,"Unable to do",3
"promis1wave1_haq","promis1wave1_haq_1","HAQ1b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to shampoo your hair?",NA,"Without any difficulty",0
"promis1wave1_haq","promis1wave1_haq_1","HAQ1b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to shampoo your hair?",NA,"With some difficulty",1
"promis1wave1_haq","promis1wave1_haq_1","HAQ1b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to shampoo your hair?",NA,"With much difficulty",2
"promis1wave1_haq","promis1wave1_haq_1","HAQ1b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to shampoo your hair?",NA,"Unable to do",3
"promis1wave1_haq","promis1wave1_haq_1","HAQ2a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to stand up from a straight chair?",NA,"Without any difficulty",0
"promis1wave1_haq","promis1wave1_haq_1","HAQ2a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to stand up from a straight chair?",NA,"With some difficulty",1
"promis1wave1_haq","promis1wave1_haq_1","HAQ2a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to stand up from a straight chair?",NA,"With much difficulty",2
"promis1wave1_haq","promis1wave1_haq_1","HAQ2a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to stand up from a straight chair?",NA,"Unable to do",3
"promis1wave1_haq","promis1wave1_haq_1","HAQ2b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to get in and out of bed?",NA,"Without any difficulty",0
"promis1wave1_haq","promis1wave1_haq_1","HAQ2b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to get in and out of bed?",NA,"With some difficulty",1
"promis1wave1_haq","promis1wave1_haq_1","HAQ2b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to get in and out of bed?",NA,"With much difficulty",2
"promis1wave1_haq","promis1wave1_haq_1","HAQ2b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to get in and out of bed?",NA,"Unable to do",3
"promis1wave1_haq","promis1wave1_haq_1","HAQ3a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to cut your own meat?",NA,"Without any difficulty",0
"promis1wave1_haq","promis1wave1_haq_1","HAQ3a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to cut your own meat?",NA,"With some difficulty",1
"promis1wave1_haq","promis1wave1_haq_1","HAQ3a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to cut your own meat?",NA,"With much difficulty",2
"promis1wave1_haq","promis1wave1_haq_1","HAQ3a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to cut your own meat?",NA,"Unable to do",3
"promis1wave1_haq","promis1wave1_haq_1","HAQ3b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to lift a full cup or glass to your mouth?",NA,"Without any difficulty",0
"promis1wave1_haq","promis1wave1_haq_1","HAQ3b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to lift a full cup or glass to your mouth?",NA,"With some difficulty",1
"promis1wave1_haq","promis1wave1_haq_1","HAQ3b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to lift a full cup or glass to your mouth?",NA,"With much difficulty",2
"promis1wave1_haq","promis1wave1_haq_1","HAQ3b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to lift a full cup or glass to your mouth?",NA,"Unable to do",3
"promis1wave1_haq","promis1wave1_haq_1","HAQ3c","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to open a new milk carton?",NA,"Without any difficulty",0
"promis1wave1_haq","promis1wave1_haq_1","HAQ3c","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to open a new milk carton?",NA,"With some difficulty",1
"promis1wave1_haq","promis1wave1_haq_1","HAQ3c","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to open a new milk carton?",NA,"With much difficulty",2
"promis1wave1_haq","promis1wave1_haq_1","HAQ3c","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to open a new milk carton?",NA,"Unable to do",3
"promis1wave1_haq","promis1wave1_haq_1","HAQ4a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to walk outdoors on flat ground?",NA,"Without any difficulty",0
"promis1wave1_haq","promis1wave1_haq_1","HAQ4a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to walk outdoors on flat ground?",NA,"With some difficulty",1
"promis1wave1_haq","promis1wave1_haq_1","HAQ4a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to walk outdoors on flat ground?",NA,"With much difficulty",2
"promis1wave1_haq","promis1wave1_haq_1","HAQ4a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to walk outdoors on flat ground?",NA,"Unable to do",3
"promis1wave1_haq","promis1wave1_haq_1","HAQ4b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to climb up five steps?",NA,"Without any difficulty",0
"promis1wave1_haq","promis1wave1_haq_1","HAQ4b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to climb up five steps?",NA,"With some difficulty",1
"promis1wave1_haq","promis1wave1_haq_1","HAQ4b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to climb up five steps?",NA,"With much difficulty",2
"promis1wave1_haq","promis1wave1_haq_1","HAQ4b","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to climb up five steps?",NA,"Unable to do",3
"promis1wave1_haq","promis1wave1_haq_1","HAQ5a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to wash and dry your body?",NA,"Without any difficulty",0
"promis1wave1_haq","promis1wave1_haq_1","HAQ5a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to wash and dry your body?",NA,"With some difficulty",1
"promis1wave1_haq","promis1wave1_haq_1","HAQ5a","PROMIS Wave 1 field test: HAQ (legacy items, Physical Function) - difficulty performing activities",NA,"Over the past week","Are you able to wash and dry your body?",NA,"With much difficulty",2
