table,section_id,item,instrument,instructions,section_prompt,item_text,correct_response,option_text,resp
consideration_future_consequences,consideration_future_consequences_1,1,"Consideration of Future Consequences Scale (CFCS; Strathman, Gleicher, Boninger & Edwards, 1994), openpsychometrics.org raw-data release","The following items were rated on a Likert scale where 1=extremely uncharacteristic, 2=somewhat uncharacteristic, 3=uncertain, 4=somewhat characteristic, 5=extremely characteristic.",,"I consider how things might be in the future, and try to influence those things with my day to day behavior.",,Extremely uncharacteristic,1
consideration_future_consequences,consideration_future_consequences_1,1,"Consideration of Future Consequences Scale (CFCS; Strathman, Gleicher, Boninger & Edwards, 1994), openpsychometrics.org raw-data release","The following items were rated on a Likert scale where 1=extremely uncharacteristic, 2=somewhat uncharacteristic, 3=uncertain, 4=somewhat characteristic, 5=extremely characteristic.",,"I consider how things might be in the future, and try to influence those things with my day to day behavior.",,Somewhat uncharacteristic,2
consideration_future_consequences,consideration_future_consequences_1,1,"Consideration of Future Consequences Scale (CFCS; Strathman, Gleicher, Boninger & Edwards, 1994), openpsychometrics.org raw-data release","The following items were rated on a Likert scale where 1=extremely uncharacteristic, 2=somewhat uncharacteristic, 3=uncertain, 4=somewhat characteristic, 5=extremely characteristic.",,"I consider how things might be in the future, and try to influence those things with my day to day behavior.",,Uncertain,3
consideration_future_consequences,consideration_future_consequences_1,1,"Consideration of Future Consequences Scale (CFCS; Strathman, Gleicher, Boninger & Edwards, 1994), openpsychometrics.org raw-data release","The following items were rated on a Likert scale where 1=extremely uncharacteristic, 2=somewhat uncharacteristic, 3=uncertain, 4=somewhat characteristic, 5=extremely characteristic.",,"I consider how things might be in the future, and try to influence those things with my day to day behavior.",,Somewhat characteristic,4
consideration_future_consequences,consideration_future_consequences_1,1,"Consideration of Future Consequences Scale (CFCS; Strathman, Gleicher, Boninger & Edwards, 1994), openpsychometrics.org raw-data release","The following items were rated on a Likert scale where 1=extremely uncharacteristic, 2=somewhat uncharacteristic, 3=uncertain, 4=somewhat characteristic, 5=extremely characteristic.",,"I consider how things might be in the future, and try to influence those things with my day to day behavior.",,Extremely characteristic,5
consideration_future_consequences,consideration_future_consequences_1,2,"Consideration of Future Consequences Scale (CFCS; Strathman, Gleicher, Boninger & Edwards, 1994), openpsychometrics.org raw-data release","The following items were rated on a Likert scale where 1=extremely uncharacteristic, 2=somewhat uncharacteristic, 3=uncertain, 4=somewhat characteristic, 5=extremely characteristic.",,Often I engage in a particular behavior in order to achieve outcomes that may not result for many years.,,Extremely uncharacteristic,1
consideration_future_consequences,consideration_future_consequences_1,2,"Consideration of Future Consequences Scale (CFCS; Strathman, Gleicher, Boninger & Edwards, 1994), openpsychometrics.org raw-data release","The following items were rated on a Likert scale where 1=extremely uncharacteristic, 2=somewhat uncharacteristic, 3=uncertain, 4=somewhat characteristic, 5=extremely characteristic.",,Often I engage in a particular behavior in order to achieve outcomes that may not result for many years.,,Somewhat uncharacteristic,2
consideration_future_consequences,consideration_future_consequences_1,2,"Consideration of Future Consequences Scale (CFCS; Strathman, Gleicher, Boninger & Edwards, 1994), openpsychometrics.org raw-data release","The following items were rated on a Likert scale where 1=extremely uncharacteristic, 2=somewhat uncharacteristic, 3=uncertain, 4=somewhat characteristic, 5=extremely characteristic.",,Often I engage in a particular behavior in order to achieve outcomes that may not result for many years.,,Uncertain,3
consideration_future_consequences,consideration_future_consequences_1,2,"Consideration of Future Consequences Scale (CFCS; Strathman, Gleicher, Boninger & Edwards, 1994), openpsychometrics.org raw-data release","The following items were rated on a Likert scale where 1=extremely uncharacteristic, 2=somewhat uncharacteristic, 3=uncertain, 4=somewhat characteristic, 5=extremely characteristic.",,Often I engage in a particular behavior in order to achieve outcomes that may not result for many years.,,Somewhat characteristic,4
consideration_future_consequences,consideration_future_consequences_1,2,"Consideration of Future Consequences Scale (CFCS; Strathman, Gleicher, Boninger & Edwards, 1994), openpsychometrics.org raw-data release","The following items were rated on a Likert scale where 1=extremely uncharacteristic, 2=somewhat uncharacteristic, 3=uncertain, 4=somewhat characteristic, 5=extremely characteristic.",,Often I engage in a particular behavior in order to achieve outcomes that may not result for many years.,,Extremely characteristic,5
