"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"alsecypiamh_wu_2022_cps","main","CPS_GD1","Claremont Purpose Scale","Chinese","NA","NA","为了实现你的长期目标，你有多努力？","","有点努力","2","","","How hard are you working to achieve your long-term goals?","Working somewhat hard"
"alsecypiamh_wu_2022_cps","main","CPS_GD1","Claremont Purpose Scale","Chinese","NA","NA","为了实现你的长期目标，你有多努力？","","非常努力","4","","","How hard are you working to achieve your long-term goals?","Working very hard"
"alsecypiamh_wu_2022_cps","main","CPS_GD1","Claremont Purpose Scale","Chinese","NA","NA","为了实现你的长期目标，你有多努力？","","极其努力","5","","","How hard are you working to achieve your long-term goals?","Working extremely hard"
"alsecypiamh_wu_2022_cps","main","CPS_GD1","Claremont Purpose Scale","Chinese","NA","NA","为了实现你的长期目标，你有多努力？","","完全不努力","1","","","How hard are you working to achieve your long-term goals?","Not working hard at all"
"alsecypiamh_wu_2022_cps","main","CPS_GD1","Claremont Purpose Scale","Chinese","NA","NA","为了实现你的长期目标，你有多努力？","","比较努力","3","","","How hard are you working to achieve your long-term goals?","Working fairly hard"
"alsecypiamh_wu_2022_cps","main","CPS_GD2","Claremont Purpose Scale","Chinese","NA","NA","你为实现自己的目标付出了多少努力？","","付出了一点努力","2","","","How much effort have you put into achieving your goals?","Put in a little effort"
"alsecypiamh_wu_2022_cps","main","CPS_GD2","Claremont Purpose Scale","Chinese","NA","NA","你为实现自己的目标付出了多少努力？","","付出了极其多的努力","5","","","How much effort have you put into achieving your goals?","Put in an extreme amount of effort"
"alsecypiamh_wu_2022_cps","main","CPS_GD2","Claremont Purpose Scale","Chinese","NA","NA","你为实现自己的目标付出了多少努力？","","几乎没付出努力","1","","","How much effort have you put into achieving your goals?","Put in almost no effort"
"alsecypiamh_wu_2022_cps","main","CPS_GD2","Claremont Purpose Scale","Chinese","NA","NA","你为实现自己的目标付出了多少努力？","","付出了比较多的努力","3","","","How much effort have you put into achieving your goals?","Put in a fair amount of effort"
"alsecypiamh_wu_2022_cps","main","CPS_GD2","Claremont Purpose Scale","Chinese","NA","NA","你为实现自己的目标付出了多少努力？","","付出了相当多的努力","4","","","How much effort have you put into achieving your goals?","Put in quite a lot of effort"
"alsecypiamh_wu_2022_cps","main","CPS_BS2","Claremont Purpose Scale","Chinese","NA","NA","你多常发现自己希望为更广阔的世界做出有意义的贡献？","","几乎从不","1","","","How often do you find yourself wanting to make a meaningful contribution to the broader world?","Almost never"
"alsecypiamh_wu_2022_cps","main","CPS_BS2","Claremont Purpose Scale","Chinese","NA","NA","你多常发现自己希望为更广阔的世界做出有意义的贡献？","","偶尔","2","","","How often do you find yourself wanting to make a meaningful contribution to the broader world?","Occasionally"
"alsecypiamh_wu_2022_cps","main","CPS_BS2","Claremont Purpose Scale","Chinese","NA","NA","你多常发现自己希望为更广阔的世界做出有意义的贡献？","","频繁地","4","","","How often do you find yourself wanting to make a meaningful contribution to the broader world?","Frequently"
"alsecypiamh_wu_2022_cps","main","CPS_BS2","Claremont Purpose Scale","Chinese","NA","NA","你多常发现自己希望为更广阔的世界做出有意义的贡献？","","有时","3","","","How often do you find yourself wanting to make a meaningful contribution to the broader world?","Sometimes"
"alsecypiamh_wu_2022_cps","main","CPS_BS2","Claremont Purpose Scale","Chinese","NA","NA","你多常发现自己希望为更广阔的世界做出有意义的贡献？","","几乎总是","5","","","How often do you find yourself wanting to make a meaningful contribution to the broader world?","Almost always"
