"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"chile_2023_social-welfare-survey_ee","main","ee1_b","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ascender en su trabajo?","","No responde","null","","","To what extent has it allowed you to be promoted at work?","No answer"
"chile_2023_social-welfare-survey_ee","main","ee1_b","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ascender en su trabajo?","","Nada","1","","","To what extent has it allowed you to be promoted at work?","Not at all"
"chile_2023_social-welfare-survey_ee","main","ee1_b","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ascender en su trabajo?","","Bastante","4","","","To what extent has it allowed you to be promoted at work?","Quite a lot"
"chile_2023_social-welfare-survey_ee","main","ee1_b","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ascender en su trabajo?","","No sabe","null","","","To what extent has it allowed you to be promoted at work?","Does not know"
"chile_2023_social-welfare-survey_ee","main","ee1_b","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ascender en su trabajo?","","Mucho","5","","","To what extent has it allowed you to be promoted at work?","A lot"
"chile_2023_social-welfare-survey_ee","main","ee1_b","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ascender en su trabajo?","","Poco","2","","","To what extent has it allowed you to be promoted at work?","A little"
"chile_2023_social-welfare-survey_ee","main","ee1_b","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ascender en su trabajo?","","Algo","3","","","To what extent has it allowed you to be promoted at work?","Somewhat"
"chile_2023_social-welfare-survey_ee","main","ee1_c","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ser valorado(a) en su trabajo?","","Algo","3","","","To what extent has it allowed you to be valued at work?","Somewhat"
"chile_2023_social-welfare-survey_ee","main","ee1_c","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ser valorado(a) en su trabajo?","","No responde","null","","","To what extent has it allowed you to be valued at work?","No answer"
"chile_2023_social-welfare-survey_ee","main","ee1_c","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ser valorado(a) en su trabajo?","","Poco","2","","","To what extent has it allowed you to be valued at work?","A little"
"chile_2023_social-welfare-survey_ee","main","ee1_c","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ser valorado(a) en su trabajo?","","No sabe","null","","","To what extent has it allowed you to be valued at work?","Does not know"
"chile_2023_social-welfare-survey_ee","main","ee1_c","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ser valorado(a) en su trabajo?","","Bastante","4","","","To what extent has it allowed you to be valued at work?","Quite a lot"
"chile_2023_social-welfare-survey_ee","main","ee1_c","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ser valorado(a) en su trabajo?","","Nada","1","","","To what extent has it allowed you to be valued at work?","Not at all"
"chile_2023_social-welfare-survey_ee","main","ee1_c","Chile CASEN education questions","Spanish","NA","NA","¿En qué medida le ha permitido ser valorado(a) en su trabajo?","","Mucho","5","","","To what extent has it allowed you to be valued at work?","A lot"
"chile_2023_social-welfare-survey_ee","main","ee1_a","Chile CASEN education questions","Spanish","NA","NA","¿Tener mayores ingresos?","","No sabe","null","","","To have a higher income?","Does not know"
"chile_2023_social-welfare-survey_ee","main","ee1_a","Chile CASEN education questions","Spanish","NA","NA","¿Tener mayores ingresos?","","Algo","3","","","To have a higher income?","Somewhat"
"chile_2023_social-welfare-survey_ee","main","ee1_a","Chile CASEN education questions","Spanish","NA","NA","¿Tener mayores ingresos?","","No responde","null","","","To have a higher income?","No answer"
"chile_2023_social-welfare-survey_ee","main","ee1_a","Chile CASEN education questions","Spanish","NA","NA","¿Tener mayores ingresos?","","Nada","1","","","To have a higher income?","Not at all"
"chile_2023_social-welfare-survey_ee","main","ee1_a","Chile CASEN education questions","Spanish","NA","NA","¿Tener mayores ingresos?","","Mucho","5","","","To have a higher income?","A lot"
"chile_2023_social-welfare-survey_ee","main","ee1_a","Chile CASEN education questions","Spanish","NA","NA","¿Tener mayores ingresos?","","Bastante","4","","","To have a higher income?","Quite a lot"
"chile_2023_social-welfare-survey_ee","main","ee1_a","Chile CASEN education questions","Spanish","NA","NA","¿Tener mayores ingresos?","","Poco","2","","","To have a higher income?","A little"
"chile_2023_social-welfare-survey_ee","main","ee2","Chile CASEN education questions","Spanish","NA","NA","¿Tiene Ud. interés en estudiar o seguir estudiando en los próximos 5 años?","","No","2","","","Are you interested in studying, or continuing to study, in the next 5 years?","No"
"chile_2023_social-welfare-survey_ee","main","ee2","Chile CASEN education questions","Spanish","NA","NA","¿Tiene Ud. interés en estudiar o seguir estudiando en los próximos 5 años?","","No responde","null","","","Are you interested in studying, or continuing to study, in the next 5 years?","No answer"
