"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"namprb_siwiak_2024_gcbs","main","GCBS_15","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne osoby celowo ukrywają przed społeczeństwem wiele znaczących informacji, by odnieść osobiste korzyści.","","Nie mam pewności / nie mogę zdecydować","3","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","A lot of important information is deliberately concealed from the public out of self-interest.","Not sure / cannot decide"
"namprb_siwiak_2024_gcbs","main","GCBS_15","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne osoby celowo ukrywają przed społeczeństwem wiele znaczących informacji, by odnieść osobiste korzyści.","","Zdecydowanie nieprawdziwe","1","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","A lot of important information is deliberately concealed from the public out of self-interest.","Definitely not true"
"namprb_siwiak_2024_gcbs","main","GCBS_15","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne osoby celowo ukrywają przed społeczeństwem wiele znaczących informacji, by odnieść osobiste korzyści.","","Prawdopodobnie prawdziwe","4","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","A lot of important information is deliberately concealed from the public out of self-interest.","Probably true"
"namprb_siwiak_2024_gcbs","main","GCBS_15","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne osoby celowo ukrywają przed społeczeństwem wiele znaczących informacji, by odnieść osobiste korzyści.","","Zdecydowanie prawdziwe","5","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","A lot of important information is deliberately concealed from the public out of self-interest.","Definitely true"
"namprb_siwiak_2024_gcbs","main","GCBS_15","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne osoby celowo ukrywają przed społeczeństwem wiele znaczących informacji, by odnieść osobiste korzyści.","","Prawdopodobnie nieprawdziwe","2","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","A lot of important information is deliberately concealed from the public out of self-interest.","Probably not true"
"namprb_siwiak_2024_gcbs","main","GCBS_7","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Niewielka, tajna grupa jest odpowiedzialna za wszystkie znaczące światowe decyzje, takie jak wypowiedzenie wojny.","","Zdecydowanie nieprawdziwe","1","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","A small, secret group of people is responsible for making all major world decisions, such as going to war.","Definitely not true"
"namprb_siwiak_2024_gcbs","main","GCBS_7","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Niewielka, tajna grupa jest odpowiedzialna za wszystkie znaczące światowe decyzje, takie jak wypowiedzenie wojny.","","Zdecydowanie prawdziwe","5","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","A small, secret group of people is responsible for making all major world decisions, such as going to war.","Definitely true"
"namprb_siwiak_2024_gcbs","main","GCBS_7","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Niewielka, tajna grupa jest odpowiedzialna za wszystkie znaczące światowe decyzje, takie jak wypowiedzenie wojny.","","Prawdopodobnie prawdziwe","4","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","A small, secret group of people is responsible for making all major world decisions, such as going to war.","Probably true"
"namprb_siwiak_2024_gcbs","main","GCBS_7","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Niewielka, tajna grupa jest odpowiedzialna za wszystkie znaczące światowe decyzje, takie jak wypowiedzenie wojny.","","Prawdopodobnie nieprawdziwe","2","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","A small, secret group of people is responsible for making all major world decisions, such as going to war.","Probably not true"
"namprb_siwiak_2024_gcbs","main","GCBS_7","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Niewielka, tajna grupa jest odpowiedzialna za wszystkie znaczące światowe decyzje, takie jak wypowiedzenie wojny.","","Nie mam pewności / nie mogę zdecydować","3","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","A small, secret group of people is responsible for making all major world decisions, such as going to war.","Not sure / cannot decide"
"namprb_siwiak_2024_gcbs","main","GCBS_12","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne znaczące wydarzenia były efektem działania niewielkiej grupy, która w sekrecie manipuluje wydarzeniami na świecie.","","Prawdopodobnie prawdziwe","4","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","Certain significant events have been the result of the activity of a small group who secretly manipulate world events.","Probably true"
"namprb_siwiak_2024_gcbs","main","GCBS_12","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne znaczące wydarzenia były efektem działania niewielkiej grupy, która w sekrecie manipuluje wydarzeniami na świecie.","","Zdecydowanie nieprawdziwe","1","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","Certain significant events have been the result of the activity of a small group who secretly manipulate world events.","Definitely not true"
"namprb_siwiak_2024_gcbs","main","GCBS_12","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne znaczące wydarzenia były efektem działania niewielkiej grupy, która w sekrecie manipuluje wydarzeniami na świecie.","","Prawdopodobnie nieprawdziwe","2","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","Certain significant events have been the result of the activity of a small group who secretly manipulate world events.","Probably not true"
"namprb_siwiak_2024_gcbs","main","GCBS_12","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne znaczące wydarzenia były efektem działania niewielkiej grupy, która w sekrecie manipuluje wydarzeniami na świecie.","","Zdecydowanie prawdziwe","5","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","Certain significant events have been the result of the activity of a small group who secretly manipulate world events.","Definitely true"
"namprb_siwiak_2024_gcbs","main","GCBS_12","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Pewne znaczące wydarzenia były efektem działania niewielkiej grupy, która w sekrecie manipuluje wydarzeniami na świecie.","","Nie mam pewności / nie mogę zdecydować","3","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","Certain significant events have been the result of the activity of a small group who secretly manipulate world events.","Not sure / cannot decide"
"namprb_siwiak_2024_gcbs","main","GCBS_8","Generic Conspiracist Beliefs Scale(GCBS)","Polish","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Dowody na kontakt z obcą cywilizacją są ukrywane przed społeczeństwem.","","Prawdopodobnie nieprawdziwe","2","Beliefs about the world. It is often debated whether the public is told the whole truth about various important issues. This short survey is designed to assess your beliefs about some of those issues.","Please rate how true the following statements are, using this scale: 1. Definitely not true. 2. Probably not true. 3. Not sure / cannot decide. 4. Probably true. 5. Definitely true.","Evidence of alien contact is being concealed from the public.","Probably not true"
