"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP04","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt worthless.",NA,"Never",1
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP04","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt worthless.",NA,"Rarely",2
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP04","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt worthless.",NA,"Sometimes",3
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP04","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt worthless.",NA,"Often",4
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP04","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt worthless.",NA,"Always",5
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP05","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt that I had nothing to look forward to.",NA,"Never",1
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP05","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt that I had nothing to look forward to.",NA,"Rarely",2
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP05","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt that I had nothing to look forward to.",NA,"Sometimes",3
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP05","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt that I had nothing to look forward to.",NA,"Often",4
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP05","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt that I had nothing to look forward to.",NA,"Always",5
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP06","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt helpless.",NA,"Never",1
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP06","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt helpless.",NA,"Rarely",2
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP06","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt helpless.",NA,"Sometimes",3
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP06","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt helpless.",NA,"Often",4
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP06","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt helpless.",NA,"Always",5
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP17","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt sad.",NA,"Never",1
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP17","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt sad.",NA,"Rarely",2
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP17","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt sad.",NA,"Sometimes",3
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP17","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt sad.",NA,"Often",4
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP17","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt sad.",NA,"Always",5
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP22","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt like a failure.",NA,"Never",1
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP22","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt like a failure.",NA,"Rarely",2
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP22","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt like a failure.",NA,"Sometimes",3
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP22","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt like a failure.",NA,"Often",4
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP22","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt like a failure.",NA,"Always",5
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP29","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt depressed.",NA,"Never",1
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP29","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt depressed.",NA,"Rarely",2
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP29","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt depressed.",NA,"Sometimes",3
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP29","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt depressed.",NA,"Often",4
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP29","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt depressed.",NA,"Always",5
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP36","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt unhappy.",NA,"Never",1
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP36","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt unhappy.",NA,"Rarely",2
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP36","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt unhappy.",NA,"Sometimes",3
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP36","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt unhappy.",NA,"Often",4
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP36","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt unhappy.",NA,"Always",5
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP41","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt hopeless.",NA,"Never",1
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP41","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt hopeless.",NA,"Rarely",2
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP41","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt hopeless.",NA,"Sometimes",3
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP41","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt hopeless.",NA,"Often",4
"evpromisi_stone_2021_ddeddep","evpromisi_stone_2021_ddeddep_1","DDEDDEP41","PROMIS Emotional Distress -- Depression, modified daily diary version (Ecological Validity of PROMIS Instruments study)",NA,NA,"In the last day ... I felt hopeless.",NA,"Always",5
