"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"The system provides context-sensitive help.",NA,NA,"Very unsatisfied",NA,1
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"The system provides context-sensitive help.",NA,NA,"Unsatisfied",NA,2
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"The system provides context-sensitive help.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"The system provides context-sensitive help.",NA,NA,"Satisfied",NA,4
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"The system provides context-sensitive help.",NA,NA,"Very satisfied",NA,5
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"Four types of help: task-oriented, alphabetically ordered, semantically organized, search.",NA,NA,"Very unsatisfied",NA,1
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"Four types of help: task-oriented, alphabetically ordered, semantically organized, search.",NA,NA,"Unsatisfied",NA,2
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"Four types of help: task-oriented, alphabetically ordered, semantically organized, search.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"Four types of help: task-oriented, alphabetically ordered, semantically organized, search.",NA,NA,"Satisfied",NA,4
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"Four types of help: task-oriented, alphabetically ordered, semantically organized, search.",NA,NA,"Very satisfied",NA,5
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-3","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"The system has help embedded in contents.",NA,NA,"Very unsatisfied",NA,1
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-3","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"The system has help embedded in contents.",NA,NA,"Unsatisfied",NA,2
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-3","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"The system has help embedded in contents.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-3","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"The system has help embedded in contents.",NA,NA,"Satisfied",NA,4
"tsai_2017_treeit_h14_document","tsai_2017_treeit_h14_document_1","H14-3","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H14. Document","Chinese","Help and documentation. Always provide help when needed.",NA,NA,NA,"The system has help embedded in contents.",NA,NA,"Very satisfied",NA,5
