Filename,Description,URL,Reference,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,Measurement Focus,Response Type,Target Population,Domain of Measurement,Scoring Methodology,Data Structure,Data Source,Context of Use,Item Format,Geographic Location
16_personalityfactors,Personality assessment,http://openpsychometrics.org/_rawdata/,Catell's 16 Personality Factors Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/16PF.zip,,Public,CC BY 4.0,,LCM,,Personality Traits,Unknown,Unknown,Affective Measures,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
4thgrade_math_sirt,Data from a 4th grade math test of German students.,https://cran.r-project.org/web/packages/sirt/index.html,"Robitzsch A (2022). sirt: Supplementary Item Response Theory Models. R package version 3.12-66, https://CRAN.R-project.org/package=sirt.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-29-2023,BD,,Educational Ability,Unknown,K-12 Students,Cognitive Skills,Item Response Theory,Unknown,Test-based,Educational Assessment,Unknown,German
5personalityfactors,Ratings of 5 personality traits on 14 items,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:51655,"Smits, I. A. M., Dolan, C. V., Vorst, H. C. M., Wicherts, J. M., & Timmerman, M. E. (2011). Cohort differences in Big Five personality factors over a period of 25 years. Journal of Personality and Social Psychology, 100(6), 1124–1138. https://doi.org/10.1037/a0022874
",CC BY 3.0,Public,CC BY 4.0,Data modified from original on 4-4-2023. Original data license at: https://creativecommons.org/licenses/by/3.0/,LCM,,Personality Traits,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
abortion,Attitudes on abortion,https://cran.r-project.org/web/packages/ltm/index.html,"McGrath, K. and Waterton, J. (1986) British social attitudes, 1983-86 panel survey. London: SCPR.",GPL-2 | GPL-3,Public,GPL-3,Data modified from original on 1-25-2023,BD,,Social Attitudes,"Dichotomous, Polytomous",Unknown,Unknown,Item Response Theory,Unknown,Unknown,Unknown,Unknown,Unknown
acl_mokken,Data from the ajective check list,https://cran.r-project.org/web/packages/mokken/index.html,"Gough, H. G., & Heilbrun,A. B. (1980) The Adjective Check List, Manual 1980 Edition. Consulting Psychologists Press.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
american_multiracial_face,Participants rate photos of smiling and neutral faces of mix-heritage people based on different measures ,https://osf.io/qsdrp/,"Chen, J.M., Norman, J.B. & Nam, Y. Broadening the stimulus set: Introducing the American Multiracial Faces Database. Behav Res (2020). https://doi.org/10.3758/s13428-020-01447-8",CC-By Attribution 4.0 International,Public,CC BY 4.0,Data have been modified. Original data license at: https://creativecommons.org/licenses/by/4.0/,LCM,,Affective Measures,Continuous,Unknown,Emotional Response,Unknown,Unknown,Behavioral Task-based,Unknown,Likert Scale,Unknown
andrich_mudfold,Attitudes about capital punishment,https://cran.r-project.org/web/packages/mudfold/index.html,"Andrich, D. (1988). The application of an unfolding model of the PIRT type to the measurement of attitude. Applied psychological measurement, 12(1), 33-51.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,Political Attitudes,Dichotomous,Unknown,Social Attitudes,Nonparametric Unfolding Item Response Theory,Unknown,Unknown,Unknown,Unknown,Unknown
anxiety_lordif,Reports for PROMIS anxiety measure,https://cran.r-project.org/web/packages/lordif/index.html,"PROMIS Cooperative Group. Unpublished Manual for the Patient-Reported Outcomes Measurement Information System (PROMIS) Version 1.1. October, 2008: http://www.nihpromis.org",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 5-8-2023,BD,,Health/Well-being,Dichotomous and Polytomous,Unknown,Anxiety,Item Response Theory,Unknown,Unknown,Unknown,Unknown,Unknown
approaches_to_text_study1,"Item responses for study 1 of the Approaches to Text Questionnaire wherein participants completed survey items to the 87-item TReAT-Q, need for cognition, and a subset of questions from the adult reading history questionnaire",https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79,"Calloway RC, Helder A, Perfetti CA. Study 1 TReATQ, RH, NFC Raw Data [data set] from ""A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension"". Behav Res Methods. 2023 Feb;55(2):899-931. https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79",,,,,LCM,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
approaches_to_text_study2,"Item responses for study 2 of Approaches to Text wherein participants completed a host of surveys, which collected items on participants' comprehension, vocabulary, reading history, author recognition, etc",https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd80,"Calloway RC, Helder A, Perfetti CA. Study 2 Data [data set] from ""A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension"". Behav Res Methods. 2023 Feb;55(2):899-931. https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79",,,,,LCM,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Survey-based,Educational Assessment,Unknown,Unknown
