"id","cov_site","cov_age","cov_age_group","cov_age_calc","cov_condition","cov_gender","item","resp"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t1.dist","E"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t1.dec","A"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t2.dist","U"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t2.dec","R"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t3.dist","U"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t3.dec","R"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t4.dist","E"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t4.dec","A"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t5.dist","E"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t5.dec","A"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t6.dist","U"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t6.dec","R"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t7.dist","E"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t7.dec","A"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t8.dist","U"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t8.dec","R"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t9.dist","E"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t9.dec","A"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t10.dist","U"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t10.dec","R"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t11.dist","E"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t11.dec","A"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t12.dist","U"
"canada.1","Canada",6,"Younger (5-8)",6.81,"Costly","F","t12.dec","R"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t1.dist","U"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t1.dec","A"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t2.dist","E"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t2.dec","A"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t3.dist","U"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t3.dec","A"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t4.dist","E"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t4.dec","A"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t5.dist","E"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t5.dec","A"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t6.dist","U"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t6.dec","A"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t7.dist","U"
"canada.2","Canada",7,"Younger (5-8)",7.71,"Costly","M","t7.dec","A"
